날짜,이산화질소
2019-03-01 01,.048
2019-03-01 02,.058
2019-03-01 03,.066
2019-03-01 04,.059
2019-03-01 05,.053
2019-03-01 06,.059
2019-03-01 07,.061
2019-03-01 08,.059
2019-03-01 09,.058
2019-03-01 10,.058
2019-03-01 11,.058
2019-03-01 12,.052
2019-03-01 13,.04
2019-03-01 14,.032
2019-03-01 15,.024
2019-03-01 16,.019
2019-03-01 17,.023
2019-03-01 18,.028
2019-03-01 19,.04
2019-03-01 20,.039
2019-03-01 21,.048
2019-03-01 22,.055
2019-03-01 23,.055
2019-03-01 24,.052
2019-03-02 01,.042
2019-03-02 02,.058
2019-03-02 03,.064
2019-03-02 04,.062
2019-03-02 05,.06
2019-03-02 06,.053
2019-03-02 07,.056
2019-03-02 08,.057
2019-03-02 09,.051
2019-03-02 10,.051
2019-03-02 11,.046
2019-03-02 12,.037
2019-03-02 13,.033
2019-03-02 14,.035
2019-03-02 15,.033
2019-03-02 16,.032
2019-03-02 17,.034
2019-03-02 18,.044
2019-03-02 19,.061
2019-03-02 20,.052
2019-03-02 21,.059
2019-03-02 22,.069
2019-03-02 23,.08
2019-03-02 24,.083
2019-03-03 01,.076
2019-03-03 02,.072
2019-03-03 03,.068
2019-03-03 04,.067
2019-03-03 05,.058
2019-03-03 06,.048
2019-03-03 07,.042
2019-03-03 08,.046
2019-03-03 09,.044
2019-03-03 10,.041
2019-03-03 11,.041
2019-03-03 12,.035
2019-03-03 13,.02
2019-03-03 14,.02
2019-03-03 15,.025
2019-03-03 16,.025
2019-03-03 17,.027
2019-03-03 18,.03
2019-03-03 19,.035
2019-03-03 20,.032
2019-03-03 21,.043
2019-03-03 22,.042
2019-03-03 23,.044
2019-03-03 24,.046
2019-03-04 01,.044
2019-03-04 02,.042
2019-03-04 03,.036
2019-03-04 04,.033
2019-03-04 05,.041
2019-03-04 06,.043
2019-03-04 07,.058
2019-03-04 08,.065
2019-03-04 09,.063
2019-03-04 10,.06
2019-03-04 11,.044
2019-03-04 12,.031
2019-03-04 13,.039
2019-03-04 14,.036
2019-03-04 15,.043
2019-03-04 16,.034
2019-03-04 17,.034
2019-03-04 18,.039
2019-03-04 19,.046
2019-03-04 20,.044
2019-03-04 21,.048
2019-03-04 22,.046
2019-03-04 23,.035
2019-03-04 24,.038
2019-03-05 01,.023
2019-03-05 02,.024
2019-03-05 03,.021
2019-03-05 04,.018
2019-03-05 05,.016
2019-03-05 06,.017
2019-03-05 07,.021
2019-03-05 08,.022
2019-03-05 09,.023
2019-03-05 10,.03
2019-03-05 11,.025
2019-03-05 12,.032
2019-03-05 13,.03
2019-03-05 14,.034
2019-03-05 15,.036
2019-03-05 16,.033
2019-03-05 17,.04
2019-03-05 18,.03
2019-03-05 19,.035
2019-03-05 20,.034
2019-03-05 21,.036
2019-03-05 22,.044
2019-03-05 23,.048
2019-03-05 24,.044
2019-03-06 01,.043
2019-03-06 02,.032
