날짜,이산화질소
2017-05-01 01,.026
2017-05-01 02,.025
2017-05-01 03,.021
2017-05-01 04,.016
2017-05-01 05,.021
2017-05-01 06,.032
2017-05-01 07,.037
2017-05-01 08,.042
2017-05-01 09,.032
2017-05-01 10,.027
2017-05-01 11,.02
2017-05-01 12,.019
2017-05-01 13,.013
2017-05-01 14,.013
2017-05-01 15,.014
2017-05-01 16,.013
2017-05-01 17,.023
2017-05-01 18,.034
2017-05-01 19,.04
2017-05-01 20,.042
2017-05-01 21,.036
2017-05-01 22,.037
2017-05-01 23,.05
2017-05-01 24,.06
2017-05-02 01,.057
2017-05-02 02,.046
2017-05-02 03,.046
2017-05-02 04,.037
2017-05-02 05,.021
2017-05-02 06,.022
2017-05-02 07,.026
2017-05-02 08,.039
2017-05-02 09,.045
2017-05-02 10,.051
2017-05-02 11,.041
2017-05-02 12,.037
2017-05-02 13,.032
2017-05-02 14,.036
2017-05-02 15,.036
2017-05-02 16,.045
2017-05-02 17,.056
2017-05-02 18,.048
2017-05-02 19,.053
2017-05-02 20,.042
2017-05-02 21,.049
2017-05-02 22,.052
2017-05-02 23,.055
2017-05-02 24,.033
2017-05-03 01,.029
2017-05-03 02,.023
2017-05-03 03,.024
2017-05-03 04,.046
2017-05-03 05,.056
2017-05-03 06,.054
2017-05-03 07,.059
2017-05-03 08,.062
2017-05-03 09,.062
2017-05-03 10,.064
2017-05-03 11,.063
2017-05-03 12,.055
2017-05-03 13,.037
2017-05-03 14,.021
2017-05-03 15,.019
2017-05-03 16,.017
2017-05-03 17,.022
2017-05-03 18,.029
2017-05-03 19,.033
2017-05-03 20,.029
2017-05-03 21,.029
2017-05-03 22,.027
2017-05-03 23,.032
2017-05-03 24,.041
2017-05-04 01,.054
2017-05-04 02,.037
2017-05-04 03,.034
2017-05-04 04,.041
2017-05-04 05,.044
2017-05-04 06,.05
2017-05-04 07,.054
2017-05-04 08,.052
2017-05-04 09,.05
2017-05-04 10,.052
2017-05-04 11,.032
2017-05-04 12,.036
2017-05-04 13,.041
2017-05-04 14,.031
2017-05-04 15,.029
2017-05-04 16,.031
2017-05-04 17,.029
2017-05-04 18,.038
2017-05-04 19,.038
2017-05-04 20,.039
2017-05-04 21,.026
2017-05-04 22,.026
2017-05-04 23,.031
2017-05-04 24,.032
2017-05-05 01,.027
2017-05-05 02,.027
2017-05-05 03,.031
2017-05-05 04,.03
2017-05-05 05,.027
2017-05-05 06,.024
2017-05-05 07,.026
2017-05-05 08,.028
2017-05-05 09,.026
2017-05-05 10,.022
2017-05-05 11,.02
2017-05-05 12,.021
2017-05-05 13,.014
2017-05-05 14,.013
2017-05-05 15,.009
2017-05-05 16,.012
2017-05-05 17,.01
