날짜,이산화질소
2020-03-01 01,.054
2020-03-01 02,.051
2020-03-01 03,.043
2020-03-01 04,.039
2020-03-01 05,.037
2020-03-01 06,.034
2020-03-01 07,.035
2020-03-01 08,.035
2020-03-01 09,.032
2020-03-01 10,.035
2020-03-01 11,.035
2020-03-01 12,.033
2020-03-01 13,.034
2020-03-01 14,.041
2020-03-01 15,.032
2020-03-01 16,.029
2020-03-01 17,.03
2020-03-01 18,.028
2020-03-01 19,.021
2020-03-01 20,.019
2020-03-01 21,.02
2020-03-01 22,.019
2020-03-01 23,.021
2020-03-01 24,.014
2020-03-02 01,.014
2020-03-02 02,.013
2020-03-02 03,.015
2020-03-02 04,.014
2020-03-02 05,.014
2020-03-02 06,.015
2020-03-02 07,.017
2020-03-02 08,.026
2020-03-02 09,.022
2020-03-02 10,.022
2020-03-02 11,.018
2020-03-02 12,.017
2020-03-02 13,.016
2020-03-02 14,.016
2020-03-02 15,.016
2020-03-02 16,.015
2020-03-02 17,.017
2020-03-02 18,.018
2020-03-02 19,.024
2020-03-02 20,.028
2020-03-02 21,.043
2020-03-02 22,.053
2020-03-02 23,.052
2020-03-02 24,.039
2020-03-03 01,.051
2020-03-03 02,.053
2020-03-03 03,.048
2020-03-03 04,.047
2020-03-03 05,.043
2020-03-03 06,.039
2020-03-03 07,.041
2020-03-03 08,.041
2020-03-03 09,.044
2020-03-03 10,.048
2020-03-03 11,.048
2020-03-03 12,.039
2020-03-03 13,.025
2020-03-03 14,.022
2020-03-03 15,.024
2020-03-03 16,.023
2020-03-03 17,.029
2020-03-03 18,.036
2020-03-03 19,.045
2020-03-03 20,.044
2020-03-03 21,.04
2020-03-03 22,.036
2020-03-03 23,.027
2020-03-03 24,.021
2020-03-04 01,.018
2020-03-04 02,.021
2020-03-04 03,.017
2020-03-04 04,.013
2020-03-04 05,.015
2020-03-04 06,.015
2020-03-04 07,.022
2020-03-04 08,.027
2020-03-04 09,.024
2020-03-04 10,.02
2020-03-04 11,.019
2020-03-04 12,.017
2020-03-04 13,.014
2020-03-04 14,.016
2020-03-04 15,.016
2020-03-04 16,.016
2020-03-04 17,.018
2020-03-04 18,.019
2020-03-04 19,.017
2020-03-04 20,.016
2020-03-04 21,.015
2020-03-04 22,.015
2020-03-04 23,.016
2020-03-04 24,.017
2020-03-05 01,.017
2020-03-05 02,.015
2020-03-05 03,.013
2020-03-05 04,.012
2020-03-05 05,.011
2020-03-05 06,.016
2020-03-05 07,.018
2020-03-05 08,.021
2020-03-05 09,.024
2020-03-05 10,.024
2020-03-05 11,.025
2020-03-05 12,.022
2020-03-05 13,.018
2020-03-05 14,.016
2020-03-05 15,.015
2020-03-05 16,.017
2020-03-05 17,.017
2020-03-05 18,.022
2020-03-05 19,.027
2020-03-05 20,.039
2020-03-05 21,.039
2020-03-05 22,.038
2020-03-05 23,.03
2020-03-05 24,.021
2020-03-06 01,.028
2020-03-06 02,.033
2020-03-06 03,.033
2020-03-06 04,.046
2020-03-06 05,.047
2020-03-06 06,.048
2020-03-06 07,.05
2020-03-06 08,.049
2020-03-06 09,.046
2020-03-06 10,.047
2020-03-06 11,.039
2020-03-06 12,.04
2020-03-06 13,.035
2020-03-06 14,.035
2020-03-06 15,.04
2020-03-06 16,.044
2020-03-06 17,.051
2020-03-06 18,.064
2020-03-06 19,.071
2020-03-06 20,.062
2020-03-06 21,.056
2020-03-06 22,.065
2020-03-06 23,.069
2020-03-06 24,.07
2020-03-07 01,.068
2020-03-07 02,.063
2020-03-07 03,.06
2020-03-07 04,.055
2020-03-07 05,.056
2020-03-07 06,.053
2020-03-07 07,.053
2020-03-07 08,.051
2020-03-07 09,.05
2020-03-07 10,.049
2020-03-07 11,.05
2020-03-07 12,.048
2020-03-07 13,.041
2020-03-07 14,.038
2020-03-07 15,.022
2020-03-07 16,.024
2020-03-07 17,.037
2020-03-07 18,.058
2020-03-07 19,.059
2020-03-07 20,.063
2020-03-07 21,.067
2020-03-07 22,.054
2020-03-07 23,.056
2020-03-07 24,.057
2020-03-08 01,.05
2020-03-08 02,.053
2020-03-08 03,.063
2020-03-08 04,.059
2020-03-08 05,.057
2020-03-08 06,.051
2020-03-08 07,.048
2020-03-08 08,.044
2020-03-08 09,.04
2020-03-08 10,.034
2020-03-08 11,.036
2020-03-08 12,.035
2020-03-08 13,.023
2020-03-08 14,.025
2020-03-08 15,.024
2020-03-08 16,.032
2020-03-08 17,.038
2020-03-08 18,.045
2020-03-08 19,.037
2020-03-08 20,.035
2020-03-08 21,.039
2020-03-08 22,.056
2020-03-08 23,.067
2020-03-08 24,.082
2020-03-09 01,.083
2020-03-09 02,.085
2020-03-09 03,.072
2020-03-09 04,.067
2020-03-09 05,.067
2020-03-09 06,.06
2020-03-09 07,.061
2020-03-09 08,.06
2020-03-09 09,.062
2020-03-09 10,.066
2020-03-09 11,.063
2020-03-09 12,.041
2020-03-09 13,.035
2020-03-09 14,.031
2020-03-09 15,.027
2020-03-09 16,.027
2020-03-09 17,.043
2020-03-09 18,.037
2020-03-09 19,.041
2020-03-09 20,.051
2020-03-09 21,.053
2020-03-09 22,.049
2020-03-09 23,.048
2020-03-09 24,.045
2020-03-10 01,.044
2020-03-10 02,.046
2020-03-10 03,.048
2020-03-10 04,.03
2020-03-10 05,.033
2020-03-10 06,.03
2020-03-10 07,.039
2020-03-10 08,.046
2020-03-10 09,.044
2020-03-10 10,.042
2020-03-10 11,.036
2020-03-10 12,.03
2020-03-10 13,.033
2020-03-10 14,.029
2020-03-10 15,.029
2020-03-10 16,.028
2020-03-10 17,.023
2020-03-10 18,.024
2020-03-10 19,.028
2020-03-10 20,.023
2020-03-10 21,.024
2020-03-10 22,.022
2020-03-10 23,.023
2020-03-10 24,.02
2020-03-11 01,.018
2020-03-11 02,.014
2020-03-11 03,.013
2020-03-11 04,.011
2020-03-11 05,.013
2020-03-11 06,.015
2020-03-11 07,.02
2020-03-11 08,.025
2020-03-11 09,.02
2020-03-11 10,.013
2020-03-11 11,.013
2020-03-11 12,.012
2020-03-11 13,
2020-03-11 14,
2020-03-11 15,
2020-03-11 16,
2020-03-11 17,.012
2020-03-11 18,.015
2020-03-11 19,.019
2020-03-11 20,.021
2020-03-11 21,.021
