날짜,이산화질소
2020-04-01 01,.031
2020-04-01 02,.024
2020-04-01 03,.025
2020-04-01 04,.025
2020-04-01 05,.024
2020-04-01 06,.024
2020-04-01 07,.036
2020-04-01 08,.037
2020-04-01 09,.042
2020-04-01 10,.038
2020-04-01 11,.036
2020-04-01 12,.034
2020-04-01 13,.028
2020-04-01 14,.022
2020-04-01 15,.02
2020-04-01 16,.017
2020-04-01 17,.017
2020-04-01 18,.016
2020-04-01 19,.018
2020-04-01 20,.017
2020-04-01 21,.013
2020-04-01 22,.013
2020-04-01 23,.013
2020-04-01 24,.017
2020-04-02 01,.02
2020-04-02 02,.016
2020-04-02 03,.02
2020-04-02 04,.021
2020-04-02 05,.023
2020-04-02 06,.031
2020-04-02 07,.042
2020-04-02 08,.046
2020-04-02 09,.041
2020-04-02 10,.044
2020-04-02 11,.039
2020-04-02 12,.03
2020-04-02 13,.033
2020-04-02 14,.036
2020-04-02 15,.023
2020-04-02 16,.024
2020-04-02 17,.021
2020-04-02 18,.021
2020-04-02 19,.025
2020-04-02 20,.03
2020-04-02 21,.029
2020-04-02 22,.027
2020-04-02 23,.028
2020-04-02 24,.033
2020-04-03 01,.035
2020-04-03 02,.033
2020-04-03 03,.035
2020-04-03 04,.036
2020-04-03 05,.024
2020-04-03 06,.023
2020-04-03 07,.021
2020-04-03 08,.03
2020-04-03 09,.029
2020-04-03 10,.032
2020-04-03 11,.033
2020-04-03 12,.033
2020-04-03 13,.029
2020-04-03 14,.028
2020-04-03 15,.028
2020-04-03 16,.026
2020-04-03 17,.026
2020-04-03 18,.024
2020-04-03 19,.025
2020-04-03 20,.028
2020-04-03 21,.028
2020-04-03 22,.025
2020-04-03 23,.032
2020-04-03 24,.026
2020-04-04 01,.02
2020-04-04 02,.02
2020-04-04 03,.022
2020-04-04 04,.022
2020-04-04 05,.021
2020-04-04 06,.021
2020-04-04 07,.023
2020-04-04 08,.03
2020-04-04 09,.027
2020-04-04 10,.016
2020-04-04 11,.013
2020-04-04 12,.014
2020-04-04 13,.013
2020-04-04 14,.01
2020-04-04 15,.011
2020-04-04 16,.008
2020-04-04 17,.009
2020-04-04 18,.01
2020-04-04 19,.009
2020-04-04 20,.01
2020-04-04 21,.01
2020-04-04 22,.01
2020-04-04 23,.011
2020-04-04 24,.012
2020-04-05 01,.012
2020-04-05 02,.009
2020-04-05 03,.008
2020-04-05 04,.008
2020-04-05 05,.009
2020-04-05 06,.01
2020-04-05 07,.015
2020-04-05 08,.016
2020-04-05 09,.015
2020-04-05 10,.014
2020-04-05 11,.011
2020-04-05 12,.011
2020-04-05 13,.011
2020-04-05 14,.01
2020-04-05 15,.01
2020-04-05 16,.01
2020-04-05 17,.012
2020-04-05 18,.013
2020-04-05 19,.015
2020-04-05 20,.016
2020-04-05 21,.019
2020-04-05 22,.024
2020-04-05 23,.028
2020-04-05 24,.031
2020-04-06 01,.029
2020-04-06 02,.027
2020-04-06 03,.028
2020-04-06 04,.03
2020-04-06 05,.026
2020-04-06 06,.026
2020-04-06 07,.034
2020-04-06 08,.043
2020-04-06 09,.046
2020-04-06 10,.044
2020-04-06 11,.039
2020-04-06 12,.036
2020-04-06 13,.035
2020-04-06 14,.03
2020-04-06 15,.022
2020-04-06 16,.02
2020-04-06 17,.023
2020-04-06 18,.025
2020-04-06 19,.037
2020-04-06 20,.034
2020-04-06 21,.029
2020-04-06 22,.029
2020-04-06 23,.028
2020-04-06 24,.028
2020-04-07 01,.028
2020-04-07 02,.023
2020-04-07 03,.023
2020-04-07 04,.021
2020-04-07 05,.028
2020-04-07 06,.029
2020-04-07 07,.027
2020-04-07 08,.028
2020-04-07 09,.041
2020-04-07 10,.032
2020-04-07 11,.035
2020-04-07 12,.035
2020-04-07 13,.033
2020-04-07 14,.027
2020-04-07 15,.025
2020-04-07 16,.024
2020-04-07 17,.025
2020-04-07 18,.024
2020-04-07 19,.024
2020-04-07 20,.024
2020-04-07 21,.026
2020-04-07 22,.028
2020-04-07 23,.034
2020-04-07 24,.021
2020-04-08 01,.016
2020-04-08 02,.014
2020-04-08 03,.013
2020-04-08 04,.014
2020-04-08 05,.015
2020-04-08 06,.022
2020-04-08 07,.025
2020-04-08 08,.025
2020-04-08 09,.015
2020-04-08 10,.017
2020-04-08 11,.011
2020-04-08 12,.01
2020-04-08 13,.009
2020-04-08 14,.009
2020-04-08 15,.01
2020-04-08 16,.009
2020-04-08 17,.011
2020-04-08 18,.016
2020-04-08 19,.017
2020-04-08 20,.017
2020-04-08 21,.015
2020-04-08 22,.018
2020-04-08 23,.018
2020-04-08 24,.019
2020-04-09 01,.015
2020-04-09 02,.012
2020-04-09 03,.011
2020-04-09 04,.013
2020-04-09 05,.015
2020-04-09 06,.021
2020-04-09 07,.027
2020-04-09 08,.024
2020-04-09 09,.024
2020-04-09 10,.02
2020-04-09 11,.017
2020-04-09 12,.013
2020-04-09 13,.013
2020-04-09 14,.012
2020-04-09 15,.014
2020-04-09 16,.013
2020-04-09 17,.019
2020-04-09 18,.019
2020-04-09 19,.02
2020-04-09 20,.026
2020-04-09 21,.026
2020-04-09 22,.027
2020-04-09 23,.029
2020-04-09 24,.035
2020-04-10 01,.033
2020-04-10 02,.023
2020-04-10 03,.027
2020-04-10 04,.028
2020-04-10 05,.031
2020-04-10 06,.033
2020-04-10 07,.048
2020-04-10 08,.047
2020-04-10 09,.041
2020-04-10 10,.029
2020-04-10 11,.024
2020-04-10 12,.018
2020-04-10 13,.014
2020-04-10 14,.015
2020-04-10 15,.018
2020-04-10 16,.022
2020-04-10 17,.028
2020-04-10 18,.028
2020-04-10 19,.031
2020-04-10 20,.037
2020-04-10 21,.04
2020-04-10 22,.044
2020-04-10 23,.056
2020-04-10 24,.041
2020-04-11 01,.027
2020-04-11 02,.023
2020-04-11 03,.02
2020-04-11 04,.022
2020-04-11 05,.022
2020-04-11 06,.021
2020-04-11 07,.023
2020-04-11 08,.032
2020-04-11 09,.036
2020-04-11 10,.027
2020-04-11 11,.026
2020-04-11 12,.026
2020-04-11 13,.024
2020-04-11 14,.021
2020-04-11 15,.019
2020-04-11 16,.022
2020-04-11 17,.023
2020-04-11 18,.021
2020-04-11 19,.021
2020-04-11 20,.022
2020-04-11 21,.023
2020-04-11 22,.021
2020-04-11 23,.024
2020-04-11 24,.023
2020-04-12 01,.02
2020-04-12 02,.019
2020-04-12 03,.018
2020-04-12 04,.022
2020-04-12 05,.022
2020-04-12 06,.031
2020-04-12 07,.034
2020-04-12 08,.033
2020-04-12 09,.025
2020-04-12 10,.013
2020-04-12 11,.011
2020-04-12 12,.011
2020-04-12 13,.009
2020-04-12 14,.01
2020-04-12 15,.01
2020-04-12 16,.009
2020-04-12 17,.01
2020-04-12 18,.01
2020-04-12 19,.011
2020-04-12 20,.012
2020-04-12 21,.011
2020-04-12 22,.014
2020-04-12 23,.013
2020-04-12 24,.013
2020-04-13 01,.012
2020-04-13 02,.01
2020-04-13 03,.007
2020-04-13 04,.008
2020-04-13 05,.009
2020-04-13 06,.012
2020-04-13 07,.017
2020-04-13 08,.022
2020-04-13 09,.017
2020-04-13 10,.015
2020-04-13 11,.014
2020-04-13 12,.014
2020-04-13 13,.013
2020-04-13 14,.01
2020-04-13 15,
2020-04-13 16,
2020-04-13 17,.009
2020-04-13 18,.012
2020-04-13 19,.016
2020-04-13 20,.024
2020-04-13 21,.042
2020-04-13 22,.042
2020-04-13 23,.041
2020-04-13 24,.055
2020-04-14 01,.056
2020-04-14 02,.047
2020-04-14 03,.042
2020-04-14 04,.036
2020-04-14 05,.033
2020-04-14 06,.036
2020-04-14 07,.038
2020-04-14 08,.045
2020-04-14 09,.038
2020-04-14 10,.036
2020-04-14 11,.04
2020-04-14 12,.03
2020-04-14 13,.021
2020-04-14 14,.018
2020-04-14 15,.021
2020-04-14 16,.021
2020-04-14 17,.021
2020-04-14 18,.021
2020-04-14 19,.027
2020-04-14 20,.035
2020-04-14 21,.037
2020-04-14 22,.043
2020-04-14 23,.052
2020-04-14 24,.048
2020-04-15 01,.036
2020-04-15 02,.034
2020-04-15 03,.032
2020-04-15 04,.036
2020-04-15 05,.05
2020-04-15 06,.059
2020-04-15 07,.06
2020-04-15 08,.068
2020-04-15 09,.065
2020-04-15 10,.053
2020-04-15 11,.045
2020-04-15 12,.038
2020-04-15 13,.03
2020-04-15 14,.03
2020-04-15 15,.021
2020-04-15 16,.018
2020-04-15 17,.02
2020-04-15 18,.022
2020-04-15 19,.023
2020-04-15 20,.025
2020-04-15 21,.024
2020-04-15 22,.025
2020-04-15 23,.026
2020-04-15 24,.033
2020-04-16 01,.037
2020-04-16 02,.04
2020-04-16 03,.051
2020-04-16 04,.062
2020-04-16 05,.042
2020-04-16 06,.034
2020-04-16 07,.045
2020-04-16 08,.045
2020-04-16 09,.045
2020-04-16 10,.038
2020-04-16 11,.037
2020-04-16 12,.027
2020-04-16 13,.022
2020-04-16 14,.024
2020-04-16 15,.025
2020-04-16 16,.024
2020-04-16 17,.023
2020-04-16 18,.02
2020-04-16 19,.038
2020-04-16 20,.037
2020-04-16 21,.034
2020-04-16 22,.04
2020-04-16 23,.043
2020-04-16 24,.072
2020-04-17 01,.07
2020-04-17 02,.035
2020-04-17 03,.017
2020-04-17 04,.012
2020-04-17 05,.015
2020-04-17 06,.016
2020-04-17 07,.019
2020-04-17 08,.027
2020-04-17 09,.03
2020-04-17 10,.035
2020-04-17 11,.029
2020-04-17 12,.026
2020-04-17 13,.023
2020-04-17 14,.027
2020-04-17 15,.033
2020-04-17 16,.039
2020-04-17 17,.036
2020-04-17 18,.024
2020-04-17 19,.026
2020-04-17 20,.045
2020-04-17 21,.036
2020-04-17 22,.043
2020-04-17 23,.039
2020-04-17 24,.028
2020-04-18 01,.021
2020-04-18 02,.018
2020-04-18 03,.016
2020-04-18 04,.012
2020-04-18 05,.014
2020-04-18 06,.017
2020-04-18 07,.024
2020-04-18 08,.017
2020-04-18 09,.014
