날짜,이산화질소
2018-05-01 01,.012
2018-05-01 02,.01
2018-05-01 03,.009
2018-05-01 04,.008
2018-05-01 05,.009
2018-05-01 06,.03
2018-05-01 07,.037
2018-05-01 08,.034
2018-05-01 09,.033
2018-05-01 10,.028
2018-05-01 11,.026
2018-05-01 12,.024
2018-05-01 13,.024
2018-05-01 14,.022
2018-05-01 15,.021
2018-05-01 16,.021
2018-05-01 17,.024
2018-05-01 18,.022
2018-05-01 19,.024
2018-05-01 20,.029
2018-05-01 21,.03
2018-05-01 22,.023
2018-05-01 23,.045
2018-05-01 24,.042
2018-05-02 01,.041
2018-05-02 02,.05
2018-05-02 03,.038
2018-05-02 04,.031
2018-05-02 05,.035
2018-05-02 06,.027
2018-05-02 07,.032
2018-05-02 08,.034
2018-05-02 09,.035
2018-05-02 10,.036
2018-05-02 11,.031
2018-05-02 12,.032
2018-05-02 13,.03
2018-05-02 14,.03
2018-05-02 15,.029
2018-05-02 16,.019
2018-05-02 17,.021
2018-05-02 18,.022
2018-05-02 19,.024
2018-05-02 20,.018
2018-05-02 21,.017
2018-05-02 22,.014
2018-05-02 23,.014
2018-05-02 24,.01
2018-05-03 01,.011
2018-05-03 02,.009
2018-05-03 03,.009
2018-05-03 04,.012
2018-05-03 05,.013
2018-05-03 06,.017
2018-05-03 07,.025
2018-05-03 08,.035
2018-05-03 09,.029
2018-05-03 10,.015
2018-05-03 11,.017
2018-05-03 12,.02
2018-05-03 13,.02
2018-05-03 14,.019
2018-05-03 15,.021
2018-05-03 16,.022
2018-05-03 17,.02
2018-05-03 18,.017
2018-05-03 19,.021
2018-05-03 20,.025
2018-05-03 21,.027
2018-05-03 22,.032
2018-05-03 23,.036
2018-05-03 24,.034
2018-05-04 01,.026
2018-05-04 02,.019
2018-05-04 03,.017
2018-05-04 04,.015
2018-05-04 05,.016
2018-05-04 06,.02
2018-05-04 07,.034
2018-05-04 08,.032
2018-05-04 09,.031
2018-05-04 10,.02
2018-05-04 11,.021
2018-05-04 12,.019
2018-05-04 13,.019
2018-05-04 14,.02
2018-05-04 15,.02
2018-05-04 16,.022
2018-05-04 17,.021
2018-05-04 18,.021
2018-05-04 19,.023
2018-05-04 20,.023
2018-05-04 21,.022
2018-05-04 22,.019
2018-05-04 23,.022
2018-05-04 24,.033
2018-05-05 01,.025
2018-05-05 02,.023
2018-05-05 03,.022
2018-05-05 04,.022
2018-05-05 05,.02
2018-05-05 06,.027
2018-05-05 07,.027
2018-05-05 08,.027
2018-05-05 09,.027
2018-05-05 10,.025
2018-05-05 11,.023
2018-05-05 12,.021
2018-05-05 13,.014
2018-05-05 14,.015
2018-05-05 15,.013
2018-05-05 16,.013
2018-05-05 17,.014
2018-05-05 18,.011
2018-05-05 19,.011
2018-05-05 20,.012
2018-05-05 21,.01
2018-05-05 22,.012
2018-05-05 23,.014
2018-05-05 24,.014
2018-05-06 01,.006
2018-05-06 02,.007
2018-05-06 03,.007
2018-05-06 04,.006
2018-05-06 05,.007
2018-05-06 06,.011
2018-05-06 07,.017
2018-05-06 08,.016
2018-05-06 09,.019
2018-05-06 10,.024
2018-05-06 11,.021
2018-05-06 12,.019
2018-05-06 13,.018
2018-05-06 14,.016
2018-05-06 15,.017
2018-05-06 16,.016
2018-05-06 17,.013
2018-05-06 18,.013
2018-05-06 19,.012
2018-05-06 20,.017
2018-05-06 21,.026
2018-05-06 22,.034
2018-05-06 23,.03
2018-05-06 24,.032
2018-05-07 01,.024
2018-05-07 02,.016
2018-05-07 03,.014
2018-05-07 04,.012
2018-05-07 05,.012
2018-05-07 06,.019
2018-05-07 07,.026
2018-05-07 08,.031
2018-05-07 09,.034
2018-05-07 10,.033
2018-05-07 11,.032
2018-05-07 12,.03
2018-05-07 13,.025
2018-05-07 14,.02
2018-05-07 15,.026
2018-05-07 16,.025
2018-05-07 17,.022
2018-05-07 18,.019
2018-05-07 19,.031
2018-05-07 20,.045
2018-05-07 21,.038
2018-05-07 22,.04
2018-05-07 23,.044
2018-05-07 24,.055
2018-05-08 01,.04
2018-05-08 02,.01
2018-05-08 03,.009
2018-05-08 04,.009
2018-05-08 05,.011
2018-05-08 06,.016
2018-05-08 07,.026
2018-05-08 08,.026
2018-05-08 09,.023
2018-05-08 10,.018
2018-05-08 11,.018
2018-05-08 12,.015
2018-05-08 13,.013
2018-05-08 14,.019
2018-05-08 15,
2018-05-08 16,
2018-05-08 17,.022
2018-05-08 18,.025
2018-05-08 19,.022
2018-05-08 20,.019
2018-05-08 21,.016
2018-05-08 22,.016
2018-05-08 23,.016
2018-05-08 24,.013
2018-05-09 01,.01
2018-05-09 02,.008
2018-05-09 03,.008
2018-05-09 04,.008
2018-05-09 05,.011
2018-05-09 06,.017
2018-05-09 07,.022
2018-05-09 08,.025
2018-05-09 09,.023
2018-05-09 10,.021
2018-05-09 11,.021
2018-05-09 12,.018
2018-05-09 13,.016
2018-05-09 14,.018
2018-05-09 15,.025
2018-05-09 16,.023
2018-05-09 17,.02
2018-05-09 18,.023
2018-05-09 19,.025
2018-05-09 20,.032
2018-05-09 21,.031
2018-05-09 22,.038
2018-05-09 23,.042
2018-05-09 24,.044
2018-05-10 01,.036
2018-05-10 02,.03
2018-05-10 03,.047
2018-05-10 04,.05
2018-05-10 05,.046
2018-05-10 06,.041
2018-05-10 07,.031
2018-05-10 08,.029
2018-05-10 09,.028
2018-05-10 10,.032
2018-05-10 11,.032
2018-05-10 12,.028
2018-05-10 13,.024
2018-05-10 14,.02
2018-05-10 15,.022
2018-05-10 16,.027
2018-05-10 17,.031
2018-05-10 18,.034
2018-05-10 19,.043
2018-05-10 20,.045
2018-05-10 21,.035
2018-05-10 22,.031
2018-05-10 23,.033
2018-05-10 24,.032
2018-05-11 01,.027
2018-05-11 02,.023
2018-05-11 03,.02
2018-05-11 04,.018
2018-05-11 05,.017
2018-05-11 06,.016
2018-05-11 07,.017
2018-05-11 08,.023
2018-05-11 09,.032
2018-05-11 10,.034
2018-05-11 11,.033
2018-05-11 12,.036
2018-05-11 13,.035
2018-05-11 14,.033
2018-05-11 15,.041
2018-05-11 16,.043
2018-05-11 17,.045
2018-05-11 18,.041
2018-05-11 19,.047
2018-05-11 20,.043
2018-05-11 21,.043
2018-05-11 22,.042
2018-05-11 23,.061
2018-05-11 24,.071
2018-05-12 01,.065
2018-05-12 02,.062
2018-05-12 03,.063
2018-05-12 04,.057
2018-05-12 05,.059
2018-05-12 06,.049
2018-05-12 07,.048
