날짜,이산화질소
2020-05-01 01,.009
2020-05-01 02,.008
2020-05-01 03,.007
2020-05-01 04,.007
2020-05-01 05,.007
2020-05-01 06,.007
2020-05-01 07,.008
2020-05-01 08,.01
2020-05-01 09,.012
2020-05-01 10,.01
2020-05-01 11,.01
2020-05-01 12,.01
2020-05-01 13,.009
2020-05-01 14,.009
2020-05-01 15,.012
2020-05-01 16,.013
2020-05-01 17,.012
2020-05-01 18,.013
2020-05-01 19,.012
2020-05-01 20,.012
2020-05-01 21,.014
2020-05-01 22,.012
2020-05-01 23,.01
2020-05-01 24,.01
2020-05-02 01,.009
2020-05-02 02,.007
2020-05-02 03,.006
2020-05-02 04,.006
2020-05-02 05,.007
2020-05-02 06,.007
2020-05-02 07,.011
2020-05-02 08,.014
2020-05-02 09,.017
2020-05-02 10,.018
2020-05-02 11,.016
2020-05-02 12,.015
2020-05-02 13,.014
2020-05-02 14,.014
2020-05-02 15,.011
2020-05-02 16,.012
2020-05-02 17,.011
2020-05-02 18,.015
2020-05-02 19,.019
2020-05-02 20,.023
2020-05-02 21,.018
2020-05-02 22,.012
2020-05-02 23,.015
2020-05-02 24,.016
2020-05-03 01,.011
2020-05-03 02,.014
2020-05-03 03,.013
2020-05-03 04,.011
2020-05-03 05,.012
2020-05-03 06,.013
2020-05-03 07,.017
2020-05-03 08,.017
2020-05-03 09,.017
2020-05-03 10,.022
2020-05-03 11,.015
2020-05-03 12,.01
2020-05-03 13,.009
2020-05-03 14,.009
2020-05-03 15,.007
2020-05-03 16,.007
2020-05-03 17,.008
2020-05-03 18,.009
2020-05-03 19,.012
2020-05-03 20,.015
2020-05-03 21,.025
2020-05-03 22,.028
2020-05-03 23,.023
2020-05-03 24,.018
2020-05-04 01,.015
2020-05-04 02,.015
2020-05-04 03,.014
2020-05-04 04,.014
2020-05-04 05,.012
2020-05-04 06,.014
2020-05-04 07,.021
2020-05-04 08,.023
2020-05-04 09,.024
2020-05-04 10,.02
2020-05-04 11,.014
2020-05-04 12,.015
2020-05-04 13,.017
2020-05-04 14,.014
2020-05-04 15,.014
2020-05-04 16,.015
2020-05-04 17,.018
2020-05-04 18,.021
2020-05-04 19,.026
2020-05-04 20,.028
2020-05-04 21,.029
2020-05-04 22,.027
2020-05-04 23,.028
2020-05-04 24,.03
2020-05-05 01,.03
2020-05-05 02,.027
2020-05-05 03,.024
2020-05-05 04,.025
2020-05-05 05,.029
2020-05-05 06,.036
2020-05-05 07,.036
2020-05-05 08,.034
2020-05-05 09,.034
2020-05-05 10,.029
2020-05-05 11,.033
2020-05-05 12,.029
2020-05-05 13,.027
2020-05-05 14,.032
2020-05-05 15,.023
2020-05-05 16,.018
2020-05-05 17,.017
2020-05-05 18,.019
2020-05-05 19,.02
2020-05-05 20,.025
2020-05-05 21,.033
2020-05-05 22,.036
2020-05-05 23,.029
2020-05-05 24,.027
2020-05-06 01,.043
2020-05-06 02,.046
2020-05-06 03,.034
2020-05-06 04,.027
2020-05-06 05,.034
2020-05-06 06,.031
2020-05-06 07,.036
2020-05-06 08,.036
2020-05-06 09,.036
2020-05-06 10,.032
2020-05-06 11,.029
2020-05-06 12,.019
2020-05-06 13,.018
2020-05-06 14,.019
2020-05-06 15,.021
2020-05-06 16,.018
2020-05-06 17,.014
2020-05-06 18,.014
2020-05-06 19,.023
2020-05-06 20,.025
2020-05-06 21,.024
2020-05-06 22,.032
2020-05-06 23,.059
2020-05-06 24,.052
2020-05-07 01,.023
2020-05-07 02,.018
2020-05-07 03,.014
2020-05-07 04,.013
2020-05-07 05,.014
2020-05-07 06,.023
2020-05-07 07,.032
2020-05-07 08,.036
2020-05-07 09,.027
2020-05-07 10,.018
2020-05-07 11,.015
2020-05-07 12,.015
2020-05-07 13,.012
2020-05-07 14,.013
2020-05-07 15,.015
2020-05-07 16,.015
2020-05-07 17,.016
