날짜,이산화질소
2018-03-01 01,.041
2018-03-01 02,.043
2018-03-01 03,.031
2018-03-01 04,.019
2018-03-01 05,.019
2018-03-01 06,.014
2018-03-01 07,.02
2018-03-01 08,.023
2018-03-01 09,.018
2018-03-01 10,.017
2018-03-01 11,.015
2018-03-01 12,.014
2018-03-01 13,.013
2018-03-01 14,.012
2018-03-01 15,.013
2018-03-01 16,.013
2018-03-01 17,.014
2018-03-01 18,.017
2018-03-01 19,.022
2018-03-01 20,.02
2018-03-01 21,.018
2018-03-01 22,.016
2018-03-01 23,.014
2018-03-01 24,.014
2018-03-02 01,.013
2018-03-02 02,.011
2018-03-02 03,.01
2018-03-02 04,.013
2018-03-02 05,.015
2018-03-02 06,.017
2018-03-02 07,.027
2018-03-02 08,.039
2018-03-02 09,.05
2018-03-02 10,.047
2018-03-02 11,.041
2018-03-02 12,.036
2018-03-02 13,.038
2018-03-02 14,.037
2018-03-02 15,.037
2018-03-02 16,.04
2018-03-02 17,.043
2018-03-02 18,.056
2018-03-02 19,.065
2018-03-02 20,.065
2018-03-02 21,.063
2018-03-02 22,.065
2018-03-02 23,.066
2018-03-02 24,.067
2018-03-03 01,.066
2018-03-03 02,.061
2018-03-03 03,.059
2018-03-03 04,.058
2018-03-03 05,.058
2018-03-03 06,.057
2018-03-03 07,.06
2018-03-03 08,.061
2018-03-03 09,.06
2018-03-03 10,.058
2018-03-03 11,.055
2018-03-03 12,.049
2018-03-03 13,.038
2018-03-03 14,.033
2018-03-03 15,.038
2018-03-03 16,.04
2018-03-03 17,.029
2018-03-03 18,.026
2018-03-03 19,.039
2018-03-03 20,.05
2018-03-03 21,.052
2018-03-03 22,.062
2018-03-03 23,.052
2018-03-03 24,.047
2018-03-04 01,.043
2018-03-04 02,.053
2018-03-04 03,.05
2018-03-04 04,.049
2018-03-04 05,.046
2018-03-04 06,.048
2018-03-04 07,.048
2018-03-04 08,.044
2018-03-04 09,.042
2018-03-04 10,.043
2018-03-04 11,.041
2018-03-04 12,.046
2018-03-04 13,.044
2018-03-04 14,.042
2018-03-04 15,.039
2018-03-04 16,.034
2018-03-04 17,.034
2018-03-04 18,.035
2018-03-04 19,.039
2018-03-04 20,.042
2018-03-04 21,.039
2018-03-04 22,.026
2018-03-04 23,.015
2018-03-04 24,.012
2018-03-05 01,.012
2018-03-05 02,.007
2018-03-05 03,.006
2018-03-05 04,.006
2018-03-05 05,.007
2018-03-05 06,.01
2018-03-05 07,.014
2018-03-05 08,.019
2018-03-05 09,.02
2018-03-05 10,.02
2018-03-05 11,.016
2018-03-05 12,.014
2018-03-05 13,.013
2018-03-05 14,.015
2018-03-05 15,.016
2018-03-05 16,.017
2018-03-05 17,.02
2018-03-05 18,.022
2018-03-05 19,.034
2018-03-05 20,.032
2018-03-05 21,.03
2018-03-05 22,.024
2018-03-05 23,.024
2018-03-05 24,.021
2018-03-06 01,.026
2018-03-06 02,.022
2018-03-06 03,.023
2018-03-06 04,.021
2018-03-06 05,.022
2018-03-06 06,.03
2018-03-06 07,.042
2018-03-06 08,.047
2018-03-06 09,.046
2018-03-06 10,.042
2018-03-06 11,.035
2018-03-06 12,.031
2018-03-06 13,.028
2018-03-06 14,.029
2018-03-06 15,.029
2018-03-06 16,.028
2018-03-06 17,.026
2018-03-06 18,.029
2018-03-06 19,.038
2018-03-06 20,.038
2018-03-06 21,.038
2018-03-06 22,.043
2018-03-06 23,.049
2018-03-06 24,.054
2018-03-07 01,.039
2018-03-07 02,.017
2018-03-07 03,.015
2018-03-07 04,.017
2018-03-07 05,.019
2018-03-07 06,.029
2018-03-07 07,.047
2018-03-07 08,.048
2018-03-07 09,.045
2018-03-07 10,.037
2018-03-07 11,.025
2018-03-07 12,.024
2018-03-07 13,.021
2018-03-07 14,.025
2018-03-07 15,.023
2018-03-07 16,.024
2018-03-07 17,.024
2018-03-07 18,.027
2018-03-07 19,.026
2018-03-07 20,.027
2018-03-07 21,.027
2018-03-07 22,.024
2018-03-07 23,.022
2018-03-07 24,.018
2018-03-08 01,.02
2018-03-08 02,.019
2018-03-08 03,.013
2018-03-08 04,.016
2018-03-08 05,.018
2018-03-08 06,.023
2018-03-08 07,.027
2018-03-08 08,.035
2018-03-08 09,.037
2018-03-08 10,.033
2018-03-08 11,.032
2018-03-08 12,.021
2018-03-08 13,.019
2018-03-08 14,.02
2018-03-08 15,.017
2018-03-08 16,.021
2018-03-08 17,.029
2018-03-08 18,.025
2018-03-08 19,.035
2018-03-08 20,.033
2018-03-08 21,.04
2018-03-08 22,.042
2018-03-08 23,.038
2018-03-08 24,.026
2018-03-09 01,.04
2018-03-09 02,.037
2018-03-09 03,.031
2018-03-09 04,.034
2018-03-09 05,.036
2018-03-09 06,.033
2018-03-09 07,.033
2018-03-09 08,.04
2018-03-09 09,.04
2018-03-09 10,.036
2018-03-09 11,.031
2018-03-09 12,.026
2018-03-09 13,.031
2018-03-09 14,.035
2018-03-09 15,.035
2018-03-09 16,.043
2018-03-09 17,.045
2018-03-09 18,.042
2018-03-09 19,.042
2018-03-09 20,.046
2018-03-09 21,.056
2018-03-09 22,.057
2018-03-09 23,.044
2018-03-09 24,.055
2018-03-10 01,.058
2018-03-10 02,.056
2018-03-10 03,.041
2018-03-10 04,.052
2018-03-10 05,.043
2018-03-10 06,.036
2018-03-10 07,.042
2018-03-10 08,.051
2018-03-10 09,.045
2018-03-10 10,.033
2018-03-10 11,.031
2018-03-10 12,.028
2018-03-10 13,.026
2018-03-10 14,.022
2018-03-10 15,.02
2018-03-10 16,.024
2018-03-10 17,.024
2018-03-10 18,.027
2018-03-10 19,.031
2018-03-10 20,.027
2018-03-10 21,.028
2018-03-10 22,.027
2018-03-10 23,.027
2018-03-10 24,.029
2018-03-11 01,.024
2018-03-11 02,.021
2018-03-11 03,.017
2018-03-11 04,.016
2018-03-11 05,.015
2018-03-11 06,.018
2018-03-11 07,.03
2018-03-11 08,.028
2018-03-11 09,.032
2018-03-11 10,.033
2018-03-11 11,.028
2018-03-11 12,.021
2018-03-11 13,.023
2018-03-11 14,.019
2018-03-11 15,.017
2018-03-11 16,.018
2018-03-11 17,.022
2018-03-11 18,.023
2018-03-11 19,.031
2018-03-11 20,.038
2018-03-11 21,.046
2018-03-11 22,.062
2018-03-11 23,.072
2018-03-11 24,.077
2018-03-12 01,.076
2018-03-12 02,.07
2018-03-12 03,.064
2018-03-12 04,.062
2018-03-12 05,.055
2018-03-12 06,.051
2018-03-12 07,.054
2018-03-12 08,.053
2018-03-12 09,.057
2018-03-12 10,.062
2018-03-12 11,.066
2018-03-12 12,.065
2018-03-12 13,.055
2018-03-12 14,.055
2018-03-12 15,.042
2018-03-12 16,.039
2018-03-12 17,.047
2018-03-12 18,.043
2018-03-12 19,.051
2018-03-12 20,.058
2018-03-12 21,.058
2018-03-12 22,.046
2018-03-12 23,.055
2018-03-12 24,.045
2018-03-13 01,.064
2018-03-13 02,.078
2018-03-13 03,.073
2018-03-13 04,.066
2018-03-13 05,.061
2018-03-13 06,.061
2018-03-13 07,.06
2018-03-13 08,.062
2018-03-13 09,.065
2018-03-13 10,.071
2018-03-13 11,.065
2018-03-13 12,.033
2018-03-13 13,.025
2018-03-13 14,.021
2018-03-13 15,.022
2018-03-13 16,.021
2018-03-13 17,.015
2018-03-13 18,.014
2018-03-13 19,.015
2018-03-13 20,.014
2018-03-13 21,.015
2018-03-13 22,.024
2018-03-13 23,.029
2018-03-13 24,.025
2018-03-14 01,.021
2018-03-14 02,.017
2018-03-14 03,.015
2018-03-14 04,.012
2018-03-14 05,.017
2018-03-14 06,.035
2018-03-14 07,.051
2018-03-14 08,.056
2018-03-14 09,.04
2018-03-14 10,.038
2018-03-14 11,.033
2018-03-14 12,.026
2018-03-14 13,.021
2018-03-14 14,.016
2018-03-14 15,.015
2018-03-14 16,.017
2018-03-14 17,.02
2018-03-14 18,.028
2018-03-14 19,.039
2018-03-14 20,.042
2018-03-14 21,.028
2018-03-14 22,.021
2018-03-14 23,.016
2018-03-14 24,.022
2018-03-15 01,.03
2018-03-15 02,.024
2018-03-15 03,.029
2018-03-15 04,.011
2018-03-15 05,.011
2018-03-15 06,.018
2018-03-15 07,.024
2018-03-15 08,.045
2018-03-15 09,.046
2018-03-15 10,.043
2018-03-15 11,.042
2018-03-15 12,.036
2018-03-15 13,.026
2018-03-15 14,.029
2018-03-15 15,
2018-03-15 16,
2018-03-15 17,
2018-03-15 18,
2018-03-15 19,
2018-03-15 20,
2018-03-15 21,
2018-03-15 22,
2018-03-15 23,
2018-03-15 24,
2018-03-16 01,
2018-03-16 02,
2018-03-16 03,
2018-03-16 04,
2018-03-16 05,
2018-03-16 06,
2018-03-16 07,
2018-03-16 08,
2018-03-16 09,
2018-03-16 10,
2018-03-16 11,
2018-03-16 12,
2018-03-16 13,
2018-03-16 14,
2018-03-16 15,
2018-03-16 16,.017
2018-03-16 17,.02
2018-03-16 18,.025
2018-03-16 19,.035
2018-03-16 20,.046
2018-03-16 21,.044
2018-03-16 22,.039
2018-03-16 23,.039
2018-03-16 24,.043
2018-03-17 01,.04
2018-03-17 02,.029
2018-03-17 03,.027
2018-03-17 04,.025
2018-03-17 05,.025
2018-03-17 06,.032
2018-03-17 07,.044
2018-03-17 08,.047
2018-03-17 09,.048
2018-03-17 10,.044
2018-03-17 11,.036
2018-03-17 12,.035
2018-03-17 13,.033
2018-03-17 14,.029
2018-03-17 15,.034
2018-03-17 16,.043
2018-03-17 17,.055
2018-03-17 18,.065
2018-03-17 19,.064
2018-03-17 20,.049
2018-03-17 21,.059
2018-03-17 22,.061
2018-03-17 23,.054
2018-03-17 24,.061
2018-03-18 01,.056
2018-03-18 02,.055
2018-03-18 03,.054
2018-03-18 04,.067
2018-03-18 05,.06
2018-03-18 06,.065
2018-03-18 07,.064
2018-03-18 08,.06
2018-03-18 09,.055
2018-03-18 10,.057
2018-03-18 11,.058
2018-03-18 12,.058
2018-03-18 13,.063
2018-03-18 14,.064
2018-03-18 15,.061
2018-03-18 16,.056
2018-03-18 17,.062
2018-03-18 18,.07
2018-03-18 19,.079
2018-03-18 20,.084
2018-03-18 21,.079
2018-03-18 22,.076
2018-03-18 23,.068
2018-03-18 24,.043
2018-03-19 01,.034
2018-03-19 02,.026
2018-03-19 03,.022
2018-03-19 04,.02
2018-03-19 05,.018
2018-03-19 06,.022
