날짜,이산화질소
2021-03-01 01,.052
2021-03-01 02,.048
2021-03-01 03,.043
2021-03-01 04,.031
2021-03-01 05,.023
2021-03-01 06,.016
2021-03-01 07,.017
2021-03-01 08,.02
2021-03-01 09,.026
2021-03-01 10,.027
2021-03-01 11,.022
2021-03-01 12,.027
2021-03-01 13,.023
2021-03-01 14,.017
2021-03-01 15,.016
2021-03-01 16,.017
2021-03-01 17,.017
2021-03-01 18,.019
2021-03-01 19,.013
2021-03-01 20,.012
2021-03-01 21,.011
2021-03-01 22,.009
2021-03-01 23,.01
2021-03-01 24,.009
2021-03-02 01,.012
2021-03-02 02,.012
2021-03-02 03,.011
2021-03-02 04,.01
2021-03-02 05,.012
2021-03-02 06,.014
2021-03-02 07,.024
2021-03-02 08,.027
2021-03-02 09,.034
2021-03-02 10,.028
2021-03-02 11,.018
2021-03-02 12,.018
2021-03-02 13,.019
2021-03-02 14,.017
2021-03-02 15,.019
2021-03-02 16,.015
2021-03-02 17,.013
2021-03-02 18,.012
2021-03-02 19,.018
2021-03-02 20,.022
2021-03-02 21,.023
2021-03-02 22,.033
2021-03-02 23,.041
2021-03-02 24,.049
2021-03-03 01,.044
2021-03-03 02,.042
2021-03-03 03,.039
2021-03-03 04,.035
2021-03-03 05,.031
2021-03-03 06,.034
2021-03-03 07,.036
2021-03-03 08,.036
2021-03-03 09,.037
2021-03-03 10,.039
2021-03-03 11,.034
2021-03-03 12,.028
2021-03-03 13,.023
2021-03-03 14,.028
2021-03-03 15,.029
2021-03-03 16,.025
2021-03-03 17,.025
2021-03-03 18,.031
2021-03-03 19,.031
2021-03-03 20,.034
2021-03-03 21,.047
2021-03-03 22,.056
2021-03-03 23,.055
2021-03-03 24,.056
2021-03-04 01,.054
2021-03-04 02,.049
2021-03-04 03,.044
2021-03-04 04,.041
2021-03-04 05,.035
2021-03-04 06,.036
2021-03-04 07,.039
2021-03-04 08,.04
2021-03-04 09,.043
2021-03-04 10,.046
2021-03-04 11,.05
2021-03-04 12,.05
2021-03-04 13,.044
2021-03-04 14,.039
2021-03-04 15,
2021-03-04 16,
2021-03-04 17,
2021-03-04 18,.034
2021-03-04 19,.041
2021-03-04 20,.047
2021-03-04 21,.051
2021-03-04 22,.054
2021-03-04 23,.053
2021-03-04 24,.05
2021-03-05 01,.048
2021-03-05 02,.043
2021-03-05 03,.041
2021-03-05 04,.039
2021-03-05 05,.039
2021-03-05 06,.038
2021-03-05 07,.038
2021-03-05 08,.041
2021-03-05 09,.042
2021-03-05 10,.04
2021-03-05 11,.047
2021-03-05 12,.044
2021-03-05 13,.044
2021-03-05 14,.036
2021-03-05 15,.023
2021-03-05 16,.019
2021-03-05 17,.019
2021-03-05 18,.027
2021-03-05 19,.029
2021-03-05 20,.028
2021-03-05 21,.031
2021-03-05 22,.031
2021-03-05 23,.049
2021-03-05 24,.045
2021-03-06 01,.051
2021-03-06 02,.035
2021-03-06 03,.039
2021-03-06 04,.043
2021-03-06 05,.038
2021-03-06 06,.034
2021-03-06 07,.04
2021-03-06 08,.042
2021-03-06 09,.041
2021-03-06 10,.027
2021-03-06 11,.018
2021-03-06 12,.015
2021-03-06 13,.013
2021-03-06 14,.015
2021-03-06 15,.016
2021-03-06 16,.016
2021-03-06 17,.016
2021-03-06 18,.016
2021-03-06 19,.02
2021-03-06 20,.02
2021-03-06 21,.017
2021-03-06 22,.015
2021-03-06 23,.014
2021-03-06 24,.013
2021-03-07 01,.012
2021-03-07 02,.008
2021-03-07 03,.008
2021-03-07 04,.008
2021-03-07 05,.007
2021-03-07 06,.008
2021-03-07 07,.014
2021-03-07 08,.015
2021-03-07 09,.016
2021-03-07 10,.015
2021-03-07 11,.015
2021-03-07 12,.015
2021-03-07 13,.014
2021-03-07 14,.013
2021-03-07 15,.015
2021-03-07 16,.018
2021-03-07 17,.022
2021-03-07 18,.022
