날짜,이산화질소
2017-04-01 01,.022
2017-04-01 02,.016
2017-04-01 03,.014
2017-04-01 04,.018
2017-04-01 05,.018
2017-04-01 06,.031
2017-04-01 07,.04
2017-04-01 08,.032
2017-04-01 09,.023
2017-04-01 10,.024
2017-04-01 11,.031
2017-04-01 12,.026
2017-04-01 13,.021
2017-04-01 14,.018
2017-04-01 15,.017
2017-04-01 16,.018
2017-04-01 17,.017
2017-04-01 18,.025
2017-04-01 19,.038
2017-04-01 20,.026
2017-04-01 21,.033
2017-04-01 22,.023
2017-04-01 23,.027
2017-04-01 24,.029
2017-04-02 01,.03
2017-04-02 02,.023
2017-04-02 03,.02
2017-04-02 04,.022
2017-04-02 05,.027
2017-04-02 06,.025
2017-04-02 07,.034
2017-04-02 08,.033
2017-04-02 09,.035
2017-04-02 10,.037
2017-04-02 11,.031
2017-04-02 12,.024
2017-04-02 13,.019
2017-04-02 14,.016
2017-04-02 15,.016
2017-04-02 16,.014
2017-04-02 17,.02
2017-04-02 18,.025
2017-04-02 19,.023
2017-04-02 20,.028
2017-04-02 21,.028
2017-04-02 22,.032
2017-04-02 23,.037
2017-04-02 24,.042
2017-04-03 01,.039
2017-04-03 02,.03
2017-04-03 03,.029
2017-04-03 04,.027
2017-04-03 05,.027
2017-04-03 06,.03
2017-04-03 07,.044
2017-04-03 08,.056
2017-04-03 09,.055
2017-04-03 10,.053
2017-04-03 11,.06
2017-04-03 12,.046
2017-04-03 13,.036
2017-04-03 14,.028
2017-04-03 15,.028
2017-04-03 16,.032
2017-04-03 17,.033
2017-04-03 18,.039
2017-04-03 19,.035
2017-04-03 20,.036
2017-04-03 21,.054
2017-04-03 22,.068
2017-04-03 23,.057
2017-04-03 24,.068
2017-04-04 01,.086
2017-04-04 02,.085
2017-04-04 03,.076
2017-04-04 04,.071
2017-04-04 05,.068
2017-04-04 06,.06
2017-04-04 07,.058
2017-04-04 08,.059
2017-04-04 09,.064
2017-04-04 10,.068
2017-04-04 11,.063
2017-04-04 12,.061
2017-04-04 13,.04
2017-04-04 14,.029
2017-04-04 15,.024
2017-04-04 16,.031
2017-04-04 17,.038
2017-04-04 18,.04
2017-04-04 19,.048
2017-04-04 20,.057
2017-04-04 21,.061
2017-04-04 22,.062
2017-04-04 23,.049
2017-04-04 24,.047
2017-04-05 01,.062
2017-04-05 02,.068
2017-04-05 03,.044
2017-04-05 04,.038
2017-04-05 05,.043
2017-04-05 06,.068
2017-04-05 07,.076
2017-04-05 08,.076
2017-04-05 09,.076
2017-04-05 10,.077
2017-04-05 11,.067
2017-04-05 12,.049
2017-04-05 13,.038
2017-04-05 14,.04
2017-04-05 15,.041
2017-04-05 16,.051
2017-04-05 17,.046
2017-04-05 18,.052
2017-04-05 19,.05
2017-04-05 20,.054
2017-04-05 21,.054
2017-04-05 22,.049
2017-04-05 23,.054
2017-04-05 24,.051
2017-04-06 01,.048
2017-04-06 02,.025
2017-04-06 03,.011
2017-04-06 04,.013
2017-04-06 05,.014
2017-04-06 06,.014
2017-04-06 07,.019
2017-04-06 08,.029
2017-04-06 09,.034
2017-04-06 10,.026
2017-04-06 11,.029
2017-04-06 12,.024
2017-04-06 13,.023
2017-04-06 14,.018
2017-04-06 15,.018
2017-04-06 16,.025
2017-04-06 17,.031
2017-04-06 18,.033
2017-04-06 19,.03
2017-04-06 20,.034
2017-04-06 21,.042
2017-04-06 22,.052
2017-04-06 23,.053
2017-04-06 24,.053
2017-04-07 01,.049
2017-04-07 02,.045
2017-04-07 03,.044
2017-04-07 04,.036
2017-04-07 05,.029
2017-04-07 06,.029
2017-04-07 07,.03
2017-04-07 08,.04
2017-04-07 09,.032
2017-04-07 10,.025
2017-04-07 11,.023
2017-04-07 12,.022
2017-04-07 13,.022
2017-04-07 14,.026
2017-04-07 15,.033
2017-04-07 16,.044
2017-04-07 17,.059
2017-04-07 18,.068
2017-04-07 19,.076
2017-04-07 20,.076
2017-04-07 21,.076
2017-04-07 22,.061
2017-04-07 23,.054
2017-04-07 24,.064
2017-04-08 01,.063
2017-04-08 02,.059
2017-04-08 03,.032
2017-04-08 04,.024
2017-04-08 05,.023
2017-04-08 06,.033
2017-04-08 07,.041
2017-04-08 08,.043
2017-04-08 09,.046
2017-04-08 10,.047
2017-04-08 11,.046
2017-04-08 12,.043
2017-04-08 13,.038
