날짜,이산화질소
2021-05-01 01,.012
2021-05-01 02,.011
2021-05-01 03,.012
2021-05-01 04,.013
2021-05-01 05,.014
2021-05-01 06,.015
2021-05-01 07,.014
2021-05-01 08,.015
2021-05-01 09,.015
2021-05-01 10,.017
2021-05-01 11,.014
2021-05-01 12,.012
2021-05-01 13,.013
2021-05-01 14,.011
2021-05-01 15,.013
2021-05-01 16,.013
2021-05-01 17,.011
2021-05-01 18,.011
2021-05-01 19,.011
2021-05-01 20,.011
2021-05-01 21,.01
2021-05-01 22,.011
2021-05-01 23,.011
2021-05-01 24,.009
2021-05-02 01,.009
2021-05-02 02,.007
2021-05-02 03,.006
2021-05-02 04,.005
2021-05-02 05,.006
2021-05-02 06,.008
2021-05-02 07,.009
2021-05-02 08,.013
2021-05-02 09,.012
2021-05-02 10,.012
2021-05-02 11,.011
2021-05-02 12,.009
2021-05-02 13,.009
2021-05-02 14,.009
2021-05-02 15,.008
2021-05-02 16,.008
2021-05-02 17,.009
2021-05-02 18,.011
2021-05-02 19,.013
2021-05-02 20,.016
2021-05-02 21,.015
2021-05-02 22,.016
2021-05-02 23,.014
2021-05-02 24,.016
2021-05-03 01,.013
2021-05-03 02,.015
2021-05-03 03,.017
2021-05-03 04,.016
2021-05-03 05,.017
2021-05-03 06,.016
2021-05-03 07,.018
2021-05-03 08,.028
2021-05-03 09,.03
2021-05-03 10,.029
2021-05-03 11,.026
2021-05-03 12,.026
2021-05-03 13,.018
2021-05-03 14,.019
2021-05-03 15,.016
2021-05-03 16,.016
2021-05-03 17,.015
2021-05-03 18,.016
2021-05-03 19,.022
2021-05-03 20,.025
2021-05-03 21,.028
2021-05-03 22,.031
2021-05-03 23,.028
2021-05-03 24,.018
2021-05-04 01,.024
2021-05-04 02,.023
2021-05-04 03,.032
2021-05-04 04,.043
2021-05-04 05,.036
2021-05-04 06,.03
2021-05-04 07,.038
2021-05-04 08,.044
2021-05-04 09,.044
2021-05-04 10,.046
2021-05-04 11,.043
2021-05-04 12,.04
2021-05-04 13,.032
2021-05-04 14,.042
2021-05-04 15,.043
2021-05-04 16,.047
2021-05-04 17,
2021-05-04 18,
2021-05-04 19,.05
2021-05-04 20,.05
2021-05-04 21,.05
2021-05-04 22,.049
2021-05-04 23,.025
2021-05-04 24,.015
2021-05-05 01,.01
2021-05-05 02,.011
2021-05-05 03,.006
2021-05-05 04,.006
