날짜,이산화질소
2019-04-01 01,.016
2019-04-01 02,.016
2019-04-01 03,.013
2019-04-01 04,.015
2019-04-01 05,.017
2019-04-01 06,.019
2019-04-01 07,.03
2019-04-01 08,.028
2019-04-01 09,.023
2019-04-01 10,.016
2019-04-01 11,.012
2019-04-01 12,.008
2019-04-01 13,.009
2019-04-01 14,.011
2019-04-01 15,
2019-04-01 16,
2019-04-01 17,
2019-04-01 18,
2019-04-01 19,.018
2019-04-01 20,.021
2019-04-01 21,.023
2019-04-01 22,.027
2019-04-01 23,.023
2019-04-01 24,.021
2019-04-02 01,.021
2019-04-02 02,.018
2019-04-02 03,.021
2019-04-02 04,.025
2019-04-02 05,.02
2019-04-02 06,.021
2019-04-02 07,.046
2019-04-02 08,.046
2019-04-02 09,.041
2019-04-02 10,.031
2019-04-02 11,.021
2019-04-02 12,.018
2019-04-02 13,.013
2019-04-02 14,.012
2019-04-02 15,.012
2019-04-02 16,.011
2019-04-02 17,.014
2019-04-02 18,.017
2019-04-02 19,.024
2019-04-02 20,.024
2019-04-02 21,.029
2019-04-02 22,.027
2019-04-02 23,.027
2019-04-02 24,.022
2019-04-03 01,.021
2019-04-03 02,.026
2019-04-03 03,.023
2019-04-03 04,.014
2019-04-03 05,.021
2019-04-03 06,.042
2019-04-03 07,.044
2019-04-03 08,.045
2019-04-03 09,.045
2019-04-03 10,.043
2019-04-03 11,.039
2019-04-03 12,.023
2019-04-03 13,.022
2019-04-03 14,.015
2019-04-03 15,.015
2019-04-03 16,.014
2019-04-03 17,.017
2019-04-03 18,.019
2019-04-03 19,.016
2019-04-03 20,.021
2019-04-03 21,.03
2019-04-03 22,.034
2019-04-03 23,.031
2019-04-03 24,.027
2019-04-04 01,.02
2019-04-04 02,.017
2019-04-04 03,.02
2019-04-04 04,.017
2019-04-04 05,.019
2019-04-04 06,.022
2019-04-04 07,.029
2019-04-04 08,.036
2019-04-04 09,.036
2019-04-04 10,.027
2019-04-04 11,.024
2019-04-04 12,.017
2019-04-04 13,.013
2019-04-04 14,.012
2019-04-04 15,.012
2019-04-04 16,.011
2019-04-04 17,.012
2019-04-04 18,.018
2019-04-04 19,.024
2019-04-04 20,.017
2019-04-04 21,.017
2019-04-04 22,.019
2019-04-04 23,.019
2019-04-04 24,.021
2019-04-05 01,.017
2019-04-05 02,.014
2019-04-05 03,.013
2019-04-05 04,.013
2019-04-05 05,.012
2019-04-05 06,.015
2019-04-05 07,.021
2019-04-05 08,.022
2019-04-05 09,.029
2019-04-05 10,.024
2019-04-05 11,.024
2019-04-05 12,.015
2019-04-05 13,.014
2019-04-05 14,.012
2019-04-05 15,.013
2019-04-05 16,.017
2019-04-05 17,.018
2019-04-05 18,.018
2019-04-05 19,.023
2019-04-05 20,.034
2019-04-05 21,.038
2019-04-05 22,.028
2019-04-05 23,.031
2019-04-05 24,.031
2019-04-06 01,.03
2019-04-06 02,.025
2019-04-06 03,.03
2019-04-06 04,.047
2019-04-06 05,.044
2019-04-06 06,.044
2019-04-06 07,.044
2019-04-06 08,.044
2019-04-06 09,.046
2019-04-06 10,.048
2019-04-06 11,.049
2019-04-06 12,.048
2019-04-06 13,.048
2019-04-06 14,.054
2019-04-06 15,.057
2019-04-06 16,.058
2019-04-06 17,.047
2019-04-06 18,.051
2019-04-06 19,.03
2019-04-06 20,.021
2019-04-06 21,.014
2019-04-06 22,.017
2019-04-06 23,.021
2019-04-06 24,.022
2019-04-07 01,.022
2019-04-07 02,.026
2019-04-07 03,.018
2019-04-07 04,.013
2019-04-07 05,.015
2019-04-07 06,.02
2019-04-07 07,.026
2019-04-07 08,.026
2019-04-07 09,.027
2019-04-07 10,.021
2019-04-07 11,.02
2019-04-07 12,.016
2019-04-07 13,.011
2019-04-07 14,.015
2019-04-07 15,.013
2019-04-07 16,.013
2019-04-07 17,.013
2019-04-07 18,.015
2019-04-07 19,.019
2019-04-07 20,.02
2019-04-07 21,.02
2019-04-07 22,.023
2019-04-07 23,.026
2019-04-07 24,.029
2019-04-08 01,.023
2019-04-08 02,.013
2019-04-08 03,.013
2019-04-08 04,.016
2019-04-08 05,.02
2019-04-08 06,.024
2019-04-08 07,.031
2019-04-08 08,.037
2019-04-08 09,.03
2019-04-08 10,.02
2019-04-08 11,.018
2019-04-08 12,.014
2019-04-08 13,.011
2019-04-08 14,.011
2019-04-08 15,.011
2019-04-08 16,.011
2019-04-08 17,.014
2019-04-08 18,.018
2019-04-08 19,.024
2019-04-08 20,.03
2019-04-08 21,.031
2019-04-08 22,.035
2019-04-08 23,.043
2019-04-08 24,.05
2019-04-09 01,.054
2019-04-09 02,.05
2019-04-09 03,.047
2019-04-09 04,.042
2019-04-09 05,.042
2019-04-09 06,.037
2019-04-09 07,.039
2019-04-09 08,.041
2019-04-09 09,.036
2019-04-09 10,.03
2019-04-09 11,.025
2019-04-09 12,.021
2019-04-09 13,.026
2019-04-09 14,.028
2019-04-09 15,.026
2019-04-09 16,.021
2019-04-09 17,.021
2019-04-09 18,.019
2019-04-09 19,.023
2019-04-09 20,.02
2019-04-09 21,.017
2019-04-09 22,.016
2019-04-09 23,.015
2019-04-09 24,.012
2019-04-10 01,.008
2019-04-10 02,.007
2019-04-10 03,.006
2019-04-10 04,.007
2019-04-10 05,.008
2019-04-10 06,.011
2019-04-10 07,.018
2019-04-10 08,.022
2019-04-10 09,.023
2019-04-10 10,.028
2019-04-10 11,.028
2019-04-10 12,.022
2019-04-10 13,.02
2019-04-10 14,.016
2019-04-10 15,.02
2019-04-10 16,.023
2019-04-10 17,.024
2019-04-10 18,.026
2019-04-10 19,.021
2019-04-10 20,.023
2019-04-10 21,.021
2019-04-10 22,.027
2019-04-10 23,.027
2019-04-10 24,.035
2019-04-11 01,.039
2019-04-11 02,.039
2019-04-11 03,.037
2019-04-11 04,.031
2019-04-11 05,.028
2019-04-11 06,.03
2019-04-11 07,.032
2019-04-11 08,.03
2019-04-11 09,.032
2019-04-11 10,.035
2019-04-11 11,.038
2019-04-11 12,.038
2019-04-11 13,.031
2019-04-11 14,.018
2019-04-11 15,.016
2019-04-11 16,.015
2019-04-11 17,.019
2019-04-11 18,.025
2019-04-11 19,.027
2019-04-11 20,.033
2019-04-11 21,.031
2019-04-11 22,.032
2019-04-11 23,.032
2019-04-11 24,.037
2019-04-12 01,.035
2019-04-12 02,.035
2019-04-12 03,.031
2019-04-12 04,.03
2019-04-12 05,.037
2019-04-12 06,.038
2019-04-12 07,.038
2019-04-12 08,.035
2019-04-12 09,.043
2019-04-12 10,.041
2019-04-12 11,.033
2019-04-12 12,.027
2019-04-12 13,.024
2019-04-12 14,.016
2019-04-12 15,.023
2019-04-12 16,.021
2019-04-12 17,.02
2019-04-12 18,.022
2019-04-12 19,.026
2019-04-12 20,.031
2019-04-12 21,.032
2019-04-12 22,.033
2019-04-12 23,.032
2019-04-12 24,.03
2019-04-13 01,.025
2019-04-13 02,.022
2019-04-13 03,.025
2019-04-13 04,.038
2019-04-13 05,.048
2019-04-13 06,.031
2019-04-13 07,.038
2019-04-13 08,.051
2019-04-13 09,.051
2019-04-13 10,.05
2019-04-13 11,.042
2019-04-13 12,.027
2019-04-13 13,.018
2019-04-13 14,.012
2019-04-13 15,.012
2019-04-13 16,.01
2019-04-13 17,.012
2019-04-13 18,.014
2019-04-13 19,.018
2019-04-13 20,.023
2019-04-13 21,.022
2019-04-13 22,.033
2019-04-13 23,.036
2019-04-13 24,.044
2019-04-14 01,.035
2019-04-14 02,.018
2019-04-14 03,.023
2019-04-14 04,.031
2019-04-14 05,.027
2019-04-14 06,.018
2019-04-14 07,.013
2019-04-14 08,.012
2019-04-14 09,.017
