날짜,이산화질소
2019-05-01 01,.043
2019-05-01 02,.031
2019-05-01 03,.024
2019-05-01 04,.023
2019-05-01 05,.023
2019-05-01 06,.026
2019-05-01 07,.03
2019-05-01 08,.032
2019-05-01 09,.028
2019-05-01 10,.026
2019-05-01 11,.026
2019-05-01 12,.021
2019-05-01 13,.013
2019-05-01 14,.011
2019-05-01 15,.013
2019-05-01 16,.014
2019-05-01 17,.014
2019-05-01 18,.016
2019-05-01 19,.017
2019-05-01 20,.025
2019-05-01 21,.029
2019-05-01 22,.027
2019-05-01 23,.014
2019-05-01 24,.022
2019-05-02 01,.021
2019-05-02 02,.021
2019-05-02 03,.019
2019-05-02 04,.023
2019-05-02 05,.023
2019-05-02 06,.029
2019-05-02 07,.041
2019-05-02 08,.045
2019-05-02 09,.043
2019-05-02 10,.034
2019-05-02 11,.02
2019-05-02 12,.015
2019-05-02 13,.012
2019-05-02 14,.014
2019-05-02 15,.015
2019-05-02 16,
2019-05-02 17,
2019-05-02 18,.018
2019-05-02 19,.021
2019-05-02 20,.024
2019-05-02 21,.022
2019-05-02 22,.023
2019-05-02 23,.019
2019-05-02 24,.025
2019-05-03 01,.029
2019-05-03 02,.036
2019-05-03 03,.033
2019-05-03 04,.048
2019-05-03 05,.046
2019-05-03 06,.04
2019-05-03 07,.036
2019-05-03 08,.036
2019-05-03 09,.041
2019-05-03 10,.046
2019-05-03 11,.04
2019-05-03 12,.033
2019-05-03 13,.042
2019-05-03 14,.037
2019-05-03 15,.029
2019-05-03 16,.024
2019-05-03 17,.025
2019-05-03 18,.024
2019-05-03 19,.029
2019-05-03 20,.035
2019-05-03 21,.033
2019-05-03 22,.03
2019-05-03 23,.035
2019-05-03 24,.039
2019-05-04 01,.051
2019-05-04 02,.041
2019-05-04 03,.028
2019-05-04 04,.022
2019-05-04 05,.019
2019-05-04 06,.03
2019-05-04 07,.045
2019-05-04 08,.049
2019-05-04 09,.048
2019-05-04 10,.048
2019-05-04 11,.052
2019-05-04 12,.04
2019-05-04 13,.039
2019-05-04 14,.034
2019-05-04 15,.028
2019-05-04 16,.023
2019-05-04 17,.021
2019-05-04 18,.027
2019-05-04 19,.039
2019-05-04 20,.043
2019-05-04 21,.043
2019-05-04 22,.042
2019-05-04 23,.05
2019-05-04 24,.063
2019-05-05 01,.07
2019-05-05 02,.049
2019-05-05 03,.036
2019-05-05 04,.044
2019-05-05 05,.044
2019-05-05 06,.042
2019-05-05 07,.04
2019-05-05 08,.042
2019-05-05 09,.04
2019-05-05 10,.038
2019-05-05 11,.033
2019-05-05 12,.026
2019-05-05 13,.018
2019-05-05 14,.011
2019-05-05 15,.012
2019-05-05 16,.01
2019-05-05 17,.012
2019-05-05 18,.015
2019-05-05 19,.014
2019-05-05 20,.021
2019-05-05 21,.024
2019-05-05 22,.024
2019-05-05 23,.017
2019-05-05 24,.01
2019-05-06 01,.007
2019-05-06 02,.006
2019-05-06 03,.005
2019-05-06 04,.005
2019-05-06 05,.007
2019-05-06 06,.007
2019-05-06 07,.01
2019-05-06 08,.009
2019-05-06 09,.008
2019-05-06 10,.009
2019-05-06 11,.007
2019-05-06 12,.007
2019-05-06 13,.007
2019-05-06 14,.007
2019-05-06 15,.007
2019-05-06 16,.007
2019-05-06 17,.008
2019-05-06 18,.011
2019-05-06 19,.015
2019-05-06 20,.018
2019-05-06 21,.022
2019-05-06 22,.022
2019-05-06 23,.014
2019-05-06 24,.016
2019-05-07 01,.013
2019-05-07 02,.016
2019-05-07 03,.018
2019-05-07 04,.034
2019-05-07 05,.037
2019-05-07 06,.038
2019-05-07 07,.034
2019-05-07 08,.032
2019-05-07 09,.035
2019-05-07 10,.036
2019-05-07 11,.033
2019-05-07 12,.022
2019-05-07 13,.018
2019-05-07 14,.015
2019-05-07 15,.017
2019-05-07 16,.016
2019-05-07 17,.02
2019-05-07 18,.019
2019-05-07 19,.019
2019-05-07 20,.022
2019-05-07 21,.018
2019-05-07 22,.015
2019-05-07 23,.014
2019-05-07 24,.016
2019-05-08 01,.015
2019-05-08 02,.017
2019-05-08 03,.015
2019-05-08 04,.015
2019-05-08 05,.017
2019-05-08 06,.021
2019-05-08 07,.027
2019-05-08 08,.03
2019-05-08 09,.027
2019-05-08 10,.024
2019-05-08 11,.023
2019-05-08 12,.018
2019-05-08 13,.016
2019-05-08 14,.016
2019-05-08 15,.018
2019-05-08 16,.016
2019-05-08 17,.018
2019-05-08 18,.022
2019-05-08 19,.023
2019-05-08 20,.021
2019-05-08 21,.025
2019-05-08 22,.022
2019-05-08 23,.024
2019-05-08 24,.014
2019-05-09 01,.017
2019-05-09 02,.017
2019-05-09 03,.014
2019-05-09 04,.014
2019-05-09 05,.011
2019-05-09 06,.016
2019-05-09 07,.022
2019-05-09 08,.032
2019-05-09 09,.03
2019-05-09 10,.026
2019-05-09 11,.025
2019-05-09 12,.025
2019-05-09 13,.023
2019-05-09 14,.019
2019-05-09 15,.018
2019-05-09 16,.019
2019-05-09 17,.021
2019-05-09 18,.023
2019-05-09 19,.023
2019-05-09 20,.021
2019-05-09 21,.023
2019-05-09 22,.027
2019-05-09 23,.03
2019-05-09 24,.035
2019-05-10 01,.032
2019-05-10 02,.038
2019-05-10 03,.039
2019-05-10 04,.031
2019-05-10 05,.028
2019-05-10 06,.032
2019-05-10 07,.042
2019-05-10 08,.042
2019-05-10 09,.041
2019-05-10 10,.033
2019-05-10 11,.033
2019-05-10 12,.035
2019-05-10 13,.031
2019-05-10 14,.034
2019-05-10 15,.028
2019-05-10 16,.027
2019-05-10 17,.028
2019-05-10 18,.027
2019-05-10 19,.033
2019-05-10 20,.048
2019-05-10 21,.036
2019-05-10 22,.05
2019-05-10 23,.053
2019-05-10 24,.055
2019-05-11 01,.06
2019-05-11 02,.057
2019-05-11 03,.062
2019-05-11 04,.059
2019-05-11 05,.044
2019-05-11 06,.049
2019-05-11 07,.046
2019-05-11 08,.049
2019-05-11 09,.054
2019-05-11 10,.055
2019-05-11 11,.056
2019-05-11 12,.044
2019-05-11 13,.029
2019-05-11 14,.03
2019-05-11 15,.03
2019-05-11 16,.035
2019-05-11 17,.028
2019-05-11 18,.027
2019-05-11 19,.034
2019-05-11 20,.05
2019-05-11 21,.056
2019-05-11 22,.061
2019-05-11 23,.062
2019-05-11 24,.061
2019-05-12 01,.061
2019-05-12 02,.057
2019-05-12 03,.052
2019-05-12 04,.048
2019-05-12 05,.043
2019-05-12 06,.045
2019-05-12 07,.043
2019-05-12 08,.034
2019-05-12 09,.028
2019-05-12 10,.022
2019-05-12 11,.024
2019-05-12 12,.019
2019-05-12 13,.014
2019-05-12 14,.016
2019-05-12 15,.014
2019-05-12 16,.015
2019-05-12 17,.019
2019-05-12 18,.024
2019-05-12 19,.023
2019-05-12 20,.03
2019-05-12 21,.036
2019-05-12 22,.048
2019-05-12 23,.038
2019-05-12 24,.038
2019-05-13 01,.046
2019-05-13 02,.041
2019-05-13 03,.027
2019-05-13 04,.03
2019-05-13 05,.033
2019-05-13 06,.047
2019-05-13 07,.052
2019-05-13 08,.055
2019-05-13 09,.057
2019-05-13 10,.049
2019-05-13 11,.054
2019-05-13 12,.039
2019-05-13 13,.03
2019-05-13 14,.039
2019-05-13 15,.062
2019-05-13 16,.036
2019-05-13 17,.025
2019-05-13 18,.022
2019-05-13 19,.026
2019-05-13 20,.027
2019-05-13 21,.022
2019-05-13 22,.02
2019-05-13 23,.019
2019-05-13 24,.018
2019-05-14 01,.018
2019-05-14 02,.023
2019-05-14 03,.024
2019-05-14 04,.025
2019-05-14 05,.028
2019-05-14 06,.027
2019-05-14 07,.041
2019-05-14 08,.042
2019-05-14 09,.039
2019-05-14 10,.036
2019-05-14 11,.023
2019-05-14 12,.021
2019-05-14 13,.021
2019-05-14 14,.016
2019-05-14 15,.018
2019-05-14 16,.022
2019-05-14 17,.018
2019-05-14 18,.018
2019-05-14 19,.029
2019-05-14 20,.028
2019-05-14 21,.026
2019-05-14 22,.027
2019-05-14 23,.033
2019-05-14 24,.041
2019-05-15 01,.054
2019-05-15 02,.053
2019-05-15 03,.048
2019-05-15 04,.038
2019-05-15 05,.036
2019-05-15 06,.039
2019-05-15 07,.04
2019-05-15 08,.04
2019-05-15 09,.044
2019-05-15 10,.042
2019-05-15 11,.039
2019-05-15 12,.033
2019-05-15 13,.026
2019-05-15 14,.028
2019-05-15 15,.026
2019-05-15 16,.024
2019-05-15 17,.021
2019-05-15 18,.03
2019-05-15 19,.032
2019-05-15 20,.038
2019-05-15 21,.043
2019-05-15 22,.041
2019-05-15 23,.045
2019-05-15 24,.037
2019-05-16 01,.031
2019-05-16 02,.045
2019-05-16 03,.044
2019-05-16 04,.04
2019-05-16 05,.049
2019-05-16 06,.044
2019-05-16 07,.041
2019-05-16 08,.042
2019-05-16 09,.047
2019-05-16 10,.047
2019-05-16 11,
2019-05-16 12,
2019-05-16 13,
2019-05-16 14,
2019-05-16 15,.017
2019-05-16 16,.021
2019-05-16 17,.02
2019-05-16 18,.025
2019-05-16 19,.028
2019-05-16 20,.028
2019-05-16 21,.028
2019-05-16 22,.037
2019-05-16 23,.028
2019-05-16 24,.032
2019-05-17 01,.023
2019-05-17 02,.037
2019-05-17 03,.035
2019-05-17 04,.022
2019-05-17 05,.03
2019-05-17 06,.039
2019-05-17 07,.041
2019-05-17 08,.039
2019-05-17 09,.043
2019-05-17 10,.04
2019-05-17 11,.042
2019-05-17 12,.027
2019-05-17 13,.021
2019-05-17 14,.019
2019-05-17 15,.023
2019-05-17 16,.027
2019-05-17 17,.023
2019-05-17 18,.02
2019-05-17 19,.043
2019-05-17 20,.071
2019-05-17 21,.057
2019-05-17 22,.072
2019-05-17 23,.077
2019-05-17 24,.044
2019-05-18 01,.025
2019-05-18 02,.014
2019-05-18 03,.012
2019-05-18 04,.008
2019-05-18 05,.016
2019-05-18 06,.021
2019-05-18 07,.03
2019-05-18 08,.029
2019-05-18 09,.024
2019-05-18 10,.016
2019-05-18 11,.01
2019-05-18 12,.01
2019-05-18 13,.01
2019-05-18 14,.011
2019-05-18 15,.012
2019-05-18 16,.011
2019-05-18 17,.012
2019-05-18 18,.015
2019-05-18 19,.012
2019-05-18 20,.01
2019-05-18 21,.012
2019-05-18 22,.01
2019-05-18 23,.009
2019-05-18 24,.008
2019-05-19 01,.006
2019-05-19 02,.006
2019-05-19 03,.006
2019-05-19 04,.006
2019-05-19 05,.007
2019-05-19 06,.01
2019-05-19 07,.009
2019-05-19 08,.013
2019-05-19 09,.012
2019-05-19 10,.013
2019-05-19 11,.014
2019-05-19 12,.015
2019-05-19 13,.013
2019-05-19 14,.015
2019-05-19 15,.012
2019-05-19 16,.015
2019-05-19 17,.014
2019-05-19 18,.012
2019-05-19 19,.016
2019-05-19 20,.024
2019-05-19 21,.023
2019-05-19 22,.013
2019-05-19 23,.01
2019-05-19 24,.008
2019-05-20 01,.01
2019-05-20 02,.008
2019-05-20 03,.006
2019-05-20 04,.005
2019-05-20 05,.005
2019-05-20 06,.008
2019-05-20 07,.01
2019-05-20 08,.015
2019-05-20 09,.016
2019-05-20 10,.015
2019-05-20 11,.01
2019-05-20 12,.01
2019-05-20 13,.009
2019-05-20 14,.008
2019-05-20 15,.01
2019-05-20 16,.01
2019-05-20 17,.01
2019-05-20 18,.012
2019-05-20 19,.014
2019-05-20 20,.017
2019-05-20 21,.017
2019-05-20 22,.018
2019-05-20 23,.018
2019-05-20 24,.02
2019-05-21 01,.017
2019-05-21 02,.012
2019-05-21 03,.011
2019-05-21 04,.011
2019-05-21 05,.013
2019-05-21 06,.014
2019-05-21 07,.016
2019-05-21 08,.021
2019-05-21 09,.018
2019-05-21 10,.015
2019-05-21 11,.012
2019-05-21 12,.012
2019-05-21 13,.012
2019-05-21 14,.013
2019-05-21 15,.012
2019-05-21 16,.013
2019-05-21 17,.013
2019-05-21 18,.018
2019-05-21 19,.016
2019-05-21 20,.019
2019-05-21 21,.016
2019-05-21 22,.015
2019-05-21 23,.019
2019-05-21 24,.018
2019-05-22 01,.012
2019-05-22 02,.014
2019-05-22 03,.012
2019-05-22 04,.011
2019-05-22 05,.012
2019-05-22 06,.016
2019-05-22 07,.021
2019-05-22 08,.023
2019-05-22 09,.024
2019-05-22 10,.024
2019-05-22 11,.022
2019-05-22 12,.014
2019-05-22 13,.011
2019-05-22 14,.011
2019-05-22 15,.013
2019-05-22 16,.014
2019-05-22 17,.013
2019-05-22 18,.016
2019-05-22 19,.018
2019-05-22 20,.017
2019-05-22 21,.016
2019-05-22 22,.018
2019-05-22 23,.018
2019-05-22 24,.016
2019-05-23 01,.019
2019-05-23 02,.016
2019-05-23 03,.014
2019-05-23 04,.014
2019-05-23 05,.02
2019-05-23 06,.035
2019-05-23 07,.05
2019-05-23 08,.046
2019-05-23 09,.032
2019-05-23 10,.032
2019-05-23 11,.028
2019-05-23 12,.031
2019-05-23 13,.026
2019-05-23 14,.021
2019-05-23 15,.017
2019-05-23 16,.017
2019-05-23 17,.019
2019-05-23 18,.024
2019-05-23 19,.028
2019-05-23 20,.033
2019-05-23 21,.033
2019-05-23 22,.028
2019-05-23 23,.034
2019-05-23 24,.032
2019-05-24 01,.037
2019-05-24 02,.053
2019-05-24 03,.053
2019-05-24 04,.041
2019-05-24 05,.036
2019-05-24 06,.034
2019-05-24 07,.038
2019-05-24 08,.042
2019-05-24 09,.047
2019-05-24 10,.047
2019-05-24 11,.031
2019-05-24 12,.025
2019-05-24 13,.021
2019-05-24 14,.022
2019-05-24 15,.025
2019-05-24 16,.025
2019-05-24 17,.024
2019-05-24 18,.037
2019-05-24 19,.044
2019-05-24 20,.051
2019-05-24 21,.049
2019-05-24 22,.047
2019-05-24 23,.037
2019-05-24 24,.039
2019-05-25 01,.031
2019-05-25 02,.024
2019-05-25 03,.015
2019-05-25 04,.011
2019-05-25 05,.011
2019-05-25 06,.011
2019-05-25 07,.014
2019-05-25 08,.017
2019-05-25 09,.022
2019-05-25 10,.024
2019-05-25 11,.024
2019-05-25 12,.022
2019-05-25 13,.017
2019-05-25 14,.016
2019-05-25 15,.018
2019-05-25 16,.018
2019-05-25 17,.016
2019-05-25 18,.012
2019-05-25 19,.013
2019-05-25 20,.015
2019-05-25 21,.017
2019-05-25 22,.02
2019-05-25 23,.031
2019-05-25 24,.044
2019-05-26 01,.048
2019-05-26 02,.045
2019-05-26 03,.044
2019-05-26 04,.033
2019-05-26 05,.024
2019-05-26 06,.02
2019-05-26 07,.025
2019-05-26 08,.022
2019-05-26 09,.022
2019-05-26 10,.024
2019-05-26 11,.015
2019-05-26 12,.008
2019-05-26 13,.007
2019-05-26 14,.007
2019-05-26 15,.009
2019-05-26 16,.009
2019-05-26 17,.011
2019-05-26 18,.01
2019-05-26 19,.014
2019-05-26 20,.014
2019-05-26 21,.013
2019-05-26 22,.011
2019-05-26 23,.013
2019-05-26 24,.013
2019-05-27 01,.017
2019-05-27 02,.019
2019-05-27 03,.01
2019-05-27 04,.006
2019-05-27 05,.008
2019-05-27 06,.008
2019-05-27 07,.013
2019-05-27 08,.019
2019-05-27 09,.018
2019-05-27 10,.021
2019-05-27 11,.023
2019-05-27 12,.02
2019-05-27 13,.017
2019-05-27 14,.015
2019-05-27 15,.01
2019-05-27 16,.01
2019-05-27 17,.011
2019-05-27 18,.01
2019-05-27 19,.01
2019-05-27 20,.013
2019-05-27 21,.014
2019-05-27 22,.011
2019-05-27 23,.008
2019-05-27 24,.007
2019-05-28 01,.007
2019-05-28 02,.005
2019-05-28 03,.006
2019-05-28 04,.006
2019-05-28 05,.007
2019-05-28 06,.01
2019-05-28 07,.015
2019-05-28 08,.016
2019-05-28 09,.014
2019-05-28 10,.011
2019-05-28 11,.013
2019-05-28 12,.013
2019-05-28 13,.011
2019-05-28 14,.012
2019-05-28 15,.014
2019-05-28 16,.014
2019-05-28 17,.015
2019-05-28 18,.017
2019-05-28 19,.015
2019-05-28 20,.016
2019-05-28 21,.015
2019-05-28 22,.015
2019-05-28 23,.016
2019-05-28 24,.014
2019-05-29 01,.014
2019-05-29 02,.013
2019-05-29 03,.016
2019-05-29 04,.018
2019-05-29 05,.026
2019-05-29 06,.021
2019-05-29 07,.019
2019-05-29 08,.023
2019-05-29 09,.027
2019-05-29 10,.03
2019-05-29 11,.023
2019-05-29 12,.023
2019-05-29 13,.017
2019-05-29 14,.015
2019-05-29 15,.014
2019-05-29 16,.015
2019-05-29 17,.018
2019-05-29 18,.021
2019-05-29 19,.022
2019-05-29 20,.026
2019-05-29 21,.032
2019-05-29 22,.038
2019-05-29 23,.037
2019-05-29 24,.039
2019-05-30 01,.033
2019-05-30 02,.032
2019-05-30 03,.032
2019-05-30 04,.021
2019-05-30 05,.023
2019-05-30 06,.037
2019-05-30 07,.039
2019-05-30 08,.038
2019-05-30 09,.034
2019-05-30 10,.029
2019-05-30 11,.018
2019-05-30 12,.015
2019-05-30 13,.015
