날짜,이산화질소
2018-04-01 01,.044
2018-04-01 02,.038
2018-04-01 03,.05
2018-04-01 04,.051
2018-04-01 05,.062
2018-04-01 06,.051
2018-04-01 07,.054
2018-04-01 08,.06
2018-04-01 09,.048
2018-04-01 10,.032
2018-04-01 11,.027
2018-04-01 12,.027
2018-04-01 13,.021
2018-04-01 14,.023
2018-04-01 15,.026
2018-04-01 16,.026
2018-04-01 17,.026
2018-04-01 18,.026
2018-04-01 19,.029
2018-04-01 20,.029
2018-04-01 21,.028
2018-04-01 22,.028
2018-04-01 23,.026
2018-04-01 24,.028
2018-04-02 01,.028
2018-04-02 02,.022
2018-04-02 03,.023
2018-04-02 04,.022
2018-04-02 05,.02
2018-04-02 06,.024
2018-04-02 07,.031
2018-04-02 08,.037
2018-04-02 09,.045
2018-04-02 10,.047
2018-04-02 11,.041
2018-04-02 12,.035
2018-04-02 13,.03
2018-04-02 14,.028
2018-04-02 15,.022
2018-04-02 16,.024
2018-04-02 17,.029
2018-04-02 18,.034
2018-04-02 19,.038
2018-04-02 20,.036
2018-04-02 21,.035
2018-04-02 22,.04
2018-04-02 23,.051
2018-04-02 24,.048
2018-04-03 01,.039
2018-04-03 02,.037
2018-04-03 03,.031
2018-04-03 04,.034
2018-04-03 05,.038
2018-04-03 06,.04
2018-04-03 07,.048
2018-04-03 08,.051
2018-04-03 09,.045
2018-04-03 10,.041
2018-04-03 11,.038
2018-04-03 12,.034
2018-04-03 13,.031
2018-04-03 14,.031
2018-04-03 15,.031
2018-04-03 16,.03
2018-04-03 17,.027
2018-04-03 18,.034
2018-04-03 19,.041
2018-04-03 20,.04
2018-04-03 21,.044
2018-04-03 22,.039
2018-04-03 23,.033
2018-04-03 24,.043
2018-04-04 01,.033
2018-04-04 02,.024
2018-04-04 03,.03
2018-04-04 04,.028
2018-04-04 05,.023
2018-04-04 06,.02
2018-04-04 07,.027
2018-04-04 08,.035
2018-04-04 09,.041
2018-04-04 10,.035
2018-04-04 11,.024
2018-04-04 12,.022
2018-04-04 13,.02
2018-04-04 14,.021
2018-04-04 15,.023
2018-04-04 16,.024
2018-04-04 17,.025
2018-04-04 18,.029
2018-04-04 19,.031
2018-04-04 20,.034
2018-04-04 21,.028
2018-04-04 22,.03
2018-04-04 23,.037
2018-04-04 24,.033
2018-04-05 01,.025
2018-04-05 02,.02
2018-04-05 03,.02
2018-04-05 04,.018
2018-04-05 05,.018
2018-04-05 06,.022
2018-04-05 07,.033
2018-04-05 08,.04
2018-04-05 09,.043
2018-04-05 10,.04
2018-04-05 11,.034
2018-04-05 12,.037
2018-04-05 13,
2018-04-05 14,
2018-04-05 15,.039
2018-04-05 16,.041
2018-04-05 17,.036
2018-04-05 18,.038
2018-04-05 19,.042
2018-04-05 20,.044
2018-04-05 21,.045
2018-04-05 22,.04
2018-04-05 23,.035
2018-04-05 24,.027
2018-04-06 01,.022
2018-04-06 02,.023
2018-04-06 03,.025
2018-04-06 04,.022
2018-04-06 05,.022
2018-04-06 06,.028
2018-04-06 07,.028
2018-04-06 08,.026
2018-04-06 09,.025
2018-04-06 10,.026
2018-04-06 11,.028
2018-04-06 12,.026
2018-04-06 13,.02
2018-04-06 14,.016
2018-04-06 15,.018
2018-04-06 16,.018
2018-04-06 17,.019
2018-04-06 18,.018
2018-04-06 19,.022
2018-04-06 20,.023
2018-04-06 21,.025
2018-04-06 22,.028
2018-04-06 23,.023
2018-04-06 24,.017
2018-04-07 01,.013
2018-04-07 02,.011
2018-04-07 03,.013
2018-04-07 04,.011
2018-04-07 05,.011
2018-04-07 06,.013
2018-04-07 07,.019
2018-04-07 08,.021
2018-04-07 09,.02
2018-04-07 10,.015
2018-04-07 11,.014
2018-04-07 12,.012
2018-04-07 13,.011
2018-04-07 14,.01
2018-04-07 15,.015
2018-04-07 16,.015
2018-04-07 17,.013
2018-04-07 18,.015
2018-04-07 19,.019
2018-04-07 20,.02
2018-04-07 21,.017
2018-04-07 22,.016
2018-04-07 23,.016
2018-04-07 24,.017
2018-04-08 01,.014
2018-04-08 02,.013
2018-04-08 03,.01
2018-04-08 04,.013
2018-04-08 05,.013
2018-04-08 06,.018
2018-04-08 07,.019
2018-04-08 08,.022
2018-04-08 09,.021
2018-04-08 10,.019
2018-04-08 11,.015
2018-04-08 12,.013
2018-04-08 13,.018
2018-04-08 14,.017
2018-04-08 15,.02
2018-04-08 16,.016
2018-04-08 17,.023
2018-04-08 18,.028
2018-04-08 19,.038
2018-04-08 20,.035
2018-04-08 21,.036
2018-04-08 22,.031
2018-04-08 23,.027
2018-04-08 24,.028
2018-04-09 01,.024
2018-04-09 02,.024
2018-04-09 03,.027
2018-04-09 04,.036
2018-04-09 05,.036
2018-04-09 06,.037
2018-04-09 07,.038
2018-04-09 08,.042
2018-04-09 09,.042
2018-04-09 10,.042
2018-04-09 11,.039
2018-04-09 12,.042
2018-04-09 13,.028
2018-04-09 14,.034
2018-04-09 15,.035
2018-04-09 16,.038
2018-04-09 17,.043
2018-04-09 18,.053
2018-04-09 19,.064
2018-04-09 20,.076
2018-04-09 21,.073
2018-04-09 22,.072
2018-04-09 23,.069
2018-04-09 24,.067
2018-04-10 01,.065
2018-04-10 02,.057
2018-04-10 03,.051
2018-04-10 04,.048
2018-04-10 05,.04
2018-04-10 06,.045
2018-04-10 07,.048
2018-04-10 08,.049
2018-04-10 09,.054
2018-04-10 10,.053
2018-04-10 11,.038
2018-04-10 12,.019
2018-04-10 13,.015
2018-04-10 14,.012
2018-04-10 15,.013
2018-04-10 16,.016
2018-04-10 17,.02
2018-04-10 18,.015
2018-04-10 19,.014
2018-04-10 20,.013
2018-04-10 21,.012
2018-04-10 22,.011
2018-04-10 23,.009
2018-04-10 24,.01
2018-04-11 01,.011
2018-04-11 02,.011
2018-04-11 03,.011
2018-04-11 04,.009
2018-04-11 05,.011
2018-04-11 06,.019
2018-04-11 07,.03
2018-04-11 08,.037
2018-04-11 09,.037
2018-04-11 10,.033
2018-04-11 11,.031
2018-04-11 12,.03
2018-04-11 13,.02
2018-04-11 14,.014
2018-04-11 15,.016
2018-04-11 16,.021
2018-04-11 17,.022
2018-04-11 18,.026
2018-04-11 19,.03
2018-04-11 20,.037
2018-04-11 21,.038
2018-04-11 22,.04
2018-04-11 23,.039
2018-04-11 24,.045
2018-04-12 01,.046
2018-04-12 02,.036
2018-04-12 03,.029
2018-04-12 04,.033
2018-04-12 05,.038
2018-04-12 06,.046
2018-04-12 07,.054
2018-04-12 08,.051
2018-04-12 09,.04
2018-04-12 10,.041
2018-04-12 11,.048
2018-04-12 12,.034
2018-04-12 13,.013
2018-04-12 14,.018
2018-04-12 15,.021
2018-04-12 16,.018
2018-04-12 17,.023
2018-04-12 18,.031
2018-04-12 19,.032
2018-04-12 20,.018
2018-04-12 21,.018
2018-04-12 22,.02
2018-04-12 23,.024
2018-04-12 24,.027
2018-04-13 01,.025
2018-04-13 02,.024
2018-04-13 03,.043
2018-04-13 04,.048
2018-04-13 05,.055
2018-04-13 06,.058
2018-04-13 07,.054
2018-04-13 08,.055
2018-04-13 09,.055
2018-04-13 10,.049
2018-04-13 11,.031
2018-04-13 12,.025
2018-04-13 13,.019
2018-04-13 14,.024
2018-04-13 15,.025
2018-04-13 16,.034
2018-04-13 17,.031
2018-04-13 18,.045
2018-04-13 19,.054
2018-04-13 20,.067
2018-04-13 21,.062
2018-04-13 22,.026
2018-04-13 23,.024
2018-04-13 24,.023
2018-04-14 01,.017
2018-04-14 02,.015
2018-04-14 03,.017
2018-04-14 04,.017
2018-04-14 05,.015
2018-04-14 06,.024
2018-04-14 07,.03
2018-04-14 08,.037
2018-04-14 09,.037
2018-04-14 10,.033
2018-04-14 11,.032
2018-04-14 12,.036
2018-04-14 13,.031
2018-04-14 14,.035
2018-04-14 15,.035
2018-04-14 16,.027
2018-04-14 17,.024
2018-04-14 18,.02
2018-04-14 19,.019
2018-04-14 20,.021
2018-04-14 21,.019
2018-04-14 22,.018
2018-04-14 23,.017
2018-04-14 24,.014
2018-04-15 01,.013
2018-04-15 02,.011
2018-04-15 03,.009
2018-04-15 04,.009
2018-04-15 05,.01
2018-04-15 06,.017
2018-04-15 07,.023
2018-04-15 08,.022
2018-04-15 09,.023
2018-04-15 10,.025
2018-04-15 11,.019
2018-04-15 12,.015
2018-04-15 13,.012
2018-04-15 14,.013
2018-04-15 15,.013
2018-04-15 16,.013
2018-04-15 17,.016
2018-04-15 18,.018
2018-04-15 19,.02
2018-04-15 20,.023
2018-04-15 21,.034
2018-04-15 22,.032
2018-04-15 23,.029
2018-04-15 24,.026
2018-04-16 01,.025
2018-04-16 02,.021
2018-04-16 03,.018
2018-04-16 04,.02
2018-04-16 05,.042
2018-04-16 06,.043
2018-04-16 07,.041
2018-04-16 08,.039
2018-04-16 09,.038
2018-04-16 10,.029
2018-04-16 11,.026
2018-04-16 12,.019
2018-04-16 13,.02
2018-04-16 14,.024
2018-04-16 15,.026
2018-04-16 16,.029
2018-04-16 17,.029
2018-04-16 18,.035
2018-04-16 19,.045
2018-04-16 20,.045
2018-04-16 21,.041
2018-04-16 22,.046
2018-04-16 23,.053
2018-04-16 24,.053
2018-04-17 01,.059
2018-04-17 02,.07
2018-04-17 03,.064
2018-04-17 04,.058
2018-04-17 05,.055
2018-04-17 06,.058
2018-04-17 07,.057
2018-04-17 08,.052
2018-04-17 09,.055
2018-04-17 10,.056
2018-04-17 11,.053
2018-04-17 12,.045
2018-04-17 13,.035
2018-04-17 14,.038
2018-04-17 15,.035
2018-04-17 16,.029
2018-04-17 17,.027
2018-04-17 18,.031
2018-04-17 19,.034
2018-04-17 20,.042
2018-04-17 21,.053
2018-04-17 22,.058
2018-04-17 23,.049
2018-04-17 24,.044
2018-04-18 01,.034
2018-04-18 02,.041
2018-04-18 03,.029
2018-04-18 04,.031
2018-04-18 05,.064
2018-04-18 06,.064
2018-04-18 07,.067
2018-04-18 08,.069
2018-04-18 09,.069
2018-04-18 10,.056
2018-04-18 11,.052
2018-04-18 12,.046
2018-04-18 13,.051
2018-04-18 14,.053
