날짜,이산화질소
2022-04-12 02,.009
2022-04-12 03,.008
2022-04-12 04,.009
2022-04-12 05,.011
2022-04-12 06,.012
2022-04-12 07,.017
2022-04-12 08,.015
2022-04-12 09,.015
2022-04-12 10,.015
2022-04-12 11,.011
2022-04-12 12,.012
2022-04-12 13,.011
2022-04-12 14,.011
2022-04-12 15,.012
2022-04-12 16,.013
2022-04-12 17,.017
2022-04-12 18,.022
2022-04-12 19,.022
2022-04-12 20,.02
2022-04-12 21,.021
2022-04-12 22,.014
2022-04-12 23,.017
2022-04-12 24,.014
2022-04-13 01,.012
2022-04-13 02,.01
2022-04-13 03,.009
2022-04-13 04,.014
2022-04-13 05,.014
2022-04-13 06,.011
2022-04-13 07,.012
2022-04-13 08,.015
2022-04-13 09,.016
2022-04-13 10,.014
2022-04-13 11,.015
2022-04-13 12,.013
2022-04-13 13,.012
2022-04-13 14,.014
2022-04-13 15,.017
2022-04-13 16,.017
2022-04-13 17,.02
2022-04-13 18,.017
2022-04-13 19,.015
2022-04-13 20,.016
2022-04-13 21,.011
2022-04-13 22,.01
2022-04-13 23,.009
2022-04-13 24,.008
2022-04-14 01,.007
2022-04-14 02,.007
2022-04-14 03,.005
2022-04-14 04,.006
2022-04-14 05,.006
2022-04-14 06,.008
2022-04-14 07,.016
2022-04-14 08,.019
2022-04-14 09,.015
2022-04-14 10,.018
2022-04-14 11,.019
2022-04-14 12,.015
2022-04-14 13,.01
2022-04-14 14,.014
2022-04-14 15,
2022-04-14 16,
2022-04-14 17,.015
2022-04-14 18,.013
2022-04-14 19,.014
2022-04-14 20,.013
2022-04-14 21,.013
2022-04-14 22,.014
2022-04-14 23,.01
2022-04-14 24,.011
2022-04-15 01,.008
2022-04-15 02,.007
2022-04-15 03,.006
2022-04-15 04,.006
2022-04-15 05,.007
2022-04-15 06,.011
2022-04-15 07,.015
2022-04-15 08,.018
2022-04-15 09,.016
2022-04-15 10,.012
2022-04-15 11,.012
2022-04-15 12,.016
2022-04-15 13,.015
2022-04-15 14,.012
2022-04-15 15,.011
2022-04-15 16,.011
2022-04-15 17,.012
2022-04-15 18,.015
2022-04-15 19,.018
2022-04-15 20,.017
2022-04-15 21,.013
2022-04-15 22,.013
2022-04-15 23,.015
2022-04-15 24,.018
2022-04-16 01,.015
2022-04-16 02,.016
2022-04-16 03,.016
2022-04-16 04,.015
2022-04-16 05,.016
2022-04-16 06,.018
2022-04-16 07,.024
2022-04-16 08,.026
2022-04-16 09,.029
2022-04-16 10,.021
2022-04-16 11,.021
2022-04-16 12,.02
2022-04-16 13,.011
2022-04-16 14,.008
2022-04-16 15,.009
2022-04-16 16,.01
2022-04-16 17,.012
2022-04-16 18,.013
2022-04-16 19,.012
2022-04-16 20,.014
2022-04-16 21,.015
2022-04-16 22,.016
2022-04-16 23,.016
2022-04-16 24,.017
2022-04-17 01,.015
2022-04-17 02,.016
2022-04-17 03,.014
2022-04-17 04,.014
2022-04-17 05,.015
2022-04-17 06,.014
2022-04-17 07,.014
2022-04-17 08,.017
2022-04-17 09,.022
2022-04-17 10,.02
2022-04-17 11,.021
2022-04-17 12,.021
2022-04-17 13,.018
2022-04-17 14,.016
2022-04-17 15,.015
2022-04-17 16,.015
2022-04-17 17,.015
2022-04-17 18,.015
2022-04-17 19,.015
2022-04-17 20,.017
2022-04-17 21,.019
2022-04-17 22,.022
2022-04-17 23,.021
2022-04-17 24,.018
2022-04-18 01,.018
2022-04-18 02,.016
2022-04-18 03,.016
2022-04-18 04,.019
2022-04-18 05,.018
2022-04-18 06,.021
2022-04-18 07,.041
2022-04-18 08,.051
2022-04-18 09,.041
2022-04-18 10,.037
2022-04-18 11,.034
2022-04-18 12,.034
2022-04-18 13,.023
2022-04-18 14,.019
2022-04-18 15,.019
2022-04-18 16,.019
2022-04-18 17,.018
2022-04-18 18,.021
2022-04-18 19,.021
2022-04-18 20,.023
2022-04-18 21,.027
2022-04-18 22,.03
2022-04-18 23,.028
2022-04-18 24,.027
2022-04-19 01,.03
2022-04-19 02,.028
2022-04-19 03,.022
2022-04-19 04,.022
2022-04-19 05,.022
2022-04-19 06,.033
2022-04-19 07,.046
2022-04-19 08,.048
2022-04-19 09,.039
2022-04-19 10,.034
2022-04-19 11,.042
2022-04-19 12,.044
2022-04-19 13,.029
2022-04-19 14,.022
2022-04-19 15,.021
2022-04-19 16,.021
2022-04-19 17,.022
2022-04-19 18,.021
2022-04-19 19,.024
2022-04-19 20,.025
2022-04-19 21,.025
2022-04-19 22,.024
2022-04-19 23,.026
2022-04-19 24,.029
2022-04-20 01,.026
2022-04-20 02,.021
2022-04-20 03,.026
2022-04-20 04,.021
2022-04-20 05,.02
2022-04-20 06,.02
2022-04-20 07,.044
2022-04-20 08,.048
2022-04-20 09,.042
2022-04-20 10,.03
2022-04-20 11,.039
2022-04-20 12,.03
2022-04-20 13,.026
2022-04-20 14,.023
2022-04-20 15,.019
2022-04-20 16,.019
2022-04-20 17,.018
2022-04-20 18,.017
2022-04-20 19,.021
2022-04-20 20,.027
2022-04-20 21,.025
2022-04-20 22,.024
2022-04-20 23,.02
2022-04-20 24,.021
2022-04-21 01,.025
2022-04-21 02,.022
2022-04-21 03,.021
2022-04-21 04,.026
2022-04-21 05,.031
2022-04-21 06,.039
2022-04-21 07,.05
2022-04-21 08,.051
2022-04-21 09,.057
2022-04-21 10,.048
2022-04-21 11,.031
2022-04-21 12,.024
2022-04-21 13,.019
2022-04-21 14,.02
2022-04-21 15,.015
2022-04-21 16,.018
2022-04-21 17,.014
2022-04-21 18,.013
2022-04-21 19,.014
2022-04-21 20,.014
2022-04-21 21,.014
2022-04-21 22,.016
2022-04-21 23,.016
2022-04-21 24,.014
2022-04-22 01,.015
2022-04-22 02,.015
2022-04-22 03,.014
2022-04-22 04,.013
2022-04-22 05,.012
2022-04-22 06,.012
2022-04-22 07,.013
2022-04-22 08,.017
2022-04-22 09,.017
2022-04-22 10,.021
2022-04-22 11,.017
2022-04-22 12,.015
2022-04-22 13,.014
2022-04-22 14,.017
2022-04-22 15,.016
2022-04-22 16,.018
2022-04-22 17,.023
2022-04-22 18,.021
2022-04-22 19,.023
2022-04-22 20,.025
2022-04-22 21,.022
2022-04-22 22,.014
2022-04-22 23,.013
2022-04-22 24,.016
2022-04-23 01,.015
2022-04-23 02,.014
2022-04-23 03,.014
2022-04-23 04,.015
2022-04-23 05,.016
2022-04-23 06,.019
2022-04-23 07,.024
2022-04-23 08,.029
2022-04-23 09,.028
2022-04-23 10,.029
2022-04-23 11,.027
2022-04-23 12,.027
2022-04-23 13,.022
2022-04-23 14,.019
2022-04-23 15,.019
2022-04-23 16,.016
2022-04-23 17,.018
2022-04-23 18,.019
2022-04-23 19,.019
2022-04-23 20,.031
2022-04-23 21,.042
2022-04-23 22,.049
2022-04-23 23,.063
2022-04-23 24,.053
2022-04-24 01,.032
2022-04-24 02,.02
2022-04-24 03,.017
2022-04-24 04,.011
2022-04-24 05,.008
2022-04-24 06,.009
2022-04-24 07,.014
2022-04-24 08,.013
2022-04-24 09,.014
2022-04-24 10,.015
2022-04-24 11,.017
2022-04-24 12,.012
2022-04-24 13,.012
2022-04-24 14,.011
2022-04-24 15,.012
2022-04-24 16,.013
2022-04-24 17,.012
2022-04-24 18,.014
2022-04-24 19,.016
2022-04-24 20,.014
2022-04-24 21,.013
2022-04-24 22,.012
2022-04-24 23,.01
2022-04-24 24,.008
2022-04-25 01,.008
2022-04-25 02,.009
2022-04-25 03,.01
2022-04-25 04,.012
2022-04-25 05,.014
2022-04-25 06,.019
2022-04-25 07,.028
2022-04-25 08,.032
2022-04-25 09,.033
2022-04-25 10,.036
2022-04-25 11,.033
2022-04-25 12,.022
2022-04-25 13,.017
2022-04-25 14,.017
2022-04-25 15,.022
2022-04-25 16,.021
2022-04-25 17,.022
2022-04-25 18,.033
2022-04-25 19,.039
2022-04-25 20,.045
2022-04-25 21,.057
2022-04-25 22,.071
2022-04-25 23,.067
2022-04-25 24,.03
2022-04-26 01,.024
2022-04-26 02,.022
2022-04-26 03,.014
2022-04-26 04,.009
2022-04-26 05,.008
2022-04-26 06,.01
2022-04-26 07,.015
2022-04-26 08,.022
2022-04-26 09,.019
2022-04-26 10,.018
2022-04-26 11,.015
2022-04-26 12,.016
2022-04-26 13,.013
2022-04-26 14,.013
2022-04-26 15,.014
2022-04-26 16,.014
2022-04-26 17,.015
2022-04-26 18,.02
2022-04-26 19,.012
2022-04-26 20,.012
2022-04-26 21,.015
2022-04-26 22,.012
2022-04-26 23,.009
2022-04-26 24,.008
2022-04-27 01,.008
2022-04-27 02,.007
2022-04-27 03,.006
2022-04-27 04,.006
2022-04-27 05,.006
2022-04-27 06,.009
2022-04-27 07,.01
2022-04-27 08,.013
2022-04-27 09,.012
2022-04-27 10,.012
2022-04-27 11,.015
2022-04-27 12,.017
2022-04-27 13,.013
2022-04-27 14,.015
2022-04-27 15,.016
2022-04-27 16,
2022-04-27 17,
2022-04-27 18,.015
2022-04-27 19,.018
2022-04-27 20,.025
2022-04-27 21,.025
2022-04-27 22,.023
2022-04-27 23,.027
2022-04-27 24,.019
2022-04-28 01,.024
2022-04-28 02,.031
2022-04-28 03,.028
2022-04-28 04,.028
2022-04-28 05,.031
2022-04-28 06,.032
2022-04-28 07,.032
2022-04-28 08,.032
2022-04-28 09,.035
2022-04-28 10,.025
2022-04-28 11,.022
2022-04-28 12,.016
2022-04-28 13,.018
2022-04-28 14,.017
2022-04-28 15,.017
2022-04-28 16,.024
2022-04-28 17,.027
2022-04-28 18,.025
2022-04-28 19,.023
2022-04-28 20,.027
2022-04-28 21,.017
2022-04-28 22,.011
2022-04-28 23,.01
2022-04-28 24,.01
2022-04-29 01,.007
2022-04-29 02,.006
2022-04-29 03,.005
2022-04-29 04,.006
2022-04-29 05,.006
2022-04-29 06,.007
2022-04-29 07,.014
2022-04-29 08,.017
2022-04-29 09,.012
2022-04-29 10,.012
2022-04-29 11,.01
2022-04-29 12,.009
2022-04-29 13,.008
2022-04-29 14,.008
2022-04-29 15,.01
2022-04-29 16,.013
2022-04-29 17,.011
2022-04-29 18,.013
2022-04-29 19,.012
2022-04-29 20,.011
2022-04-29 21,.012
2022-04-29 22,.009
2022-04-29 23,.009
2022-04-29 24,.01
2022-04-30 01,.009
2022-04-30 02,.01
2022-04-30 03,.009
2022-04-30 04,.008
2022-04-30 05,.011
2022-04-30 06,.01
2022-04-30 07,.013
2022-04-30 08,.019
2022-04-30 09,.017
2022-04-30 10,.014
2022-04-30 11,.012
2022-04-30 12,.012
2022-04-30 13,.009
2022-04-30 14,.009
2022-04-30 15,.01
2022-04-30 16,.011
2022-04-30 17,.01
2022-04-30 18,.011
2022-04-30 19,.011
2022-04-30 20,.013
2022-04-30 21,.016
2022-04-30 22,.017
2022-04-30 23,.017
2022-04-30 24,.016
