날짜,이산화질소
2022-05-01 01,.015
2022-05-01 02,.014
2022-05-01 03,.014
2022-05-01 04,.013
2022-05-01 05,.013
2022-05-01 06,.014
2022-05-01 07,.014
2022-05-01 08,.015
2022-05-01 09,.012
2022-05-01 10,.011
2022-05-01 11,.011
2022-05-01 12,.007
2022-05-01 13,.006
2022-05-01 14,.005
2022-05-01 15,.006
2022-05-01 16,.006
2022-05-01 17,.007
2022-05-01 18,.009
2022-05-01 19,.01
2022-05-01 20,.012
2022-05-01 21,.011
2022-05-01 22,.011
2022-05-01 23,.011
2022-05-01 24,.012
2022-05-02 01,.012
2022-05-02 02,.011
2022-05-02 03,.011
2022-05-02 04,.011
2022-05-02 05,.012
2022-05-02 06,.013
2022-05-02 07,.019
2022-05-02 08,.026
2022-05-02 09,.027
2022-05-02 10,.025
2022-05-02 11,.019
2022-05-02 12,.018
2022-05-02 13,.01
2022-05-02 14,.01
2022-05-02 15,.011
2022-05-02 16,.009
2022-05-02 17,.012
2022-05-02 18,.012
2022-05-02 19,.013
2022-05-02 20,.019
2022-05-02 21,.023
2022-05-02 22,.029
2022-05-02 23,.018
2022-05-02 24,.016
2022-05-03 01,.016
2022-05-03 02,.018
2022-05-03 03,.033
2022-05-03 04,.028
2022-05-03 05,.032
2022-05-03 06,.026
2022-05-03 07,.028
2022-05-03 08,.029
2022-05-03 09,.026
2022-05-03 10,.022
2022-05-03 11,.017
2022-05-03 12,.016
2022-05-03 13,.014
2022-05-03 14,.015
2022-05-03 15,.013
2022-05-03 16,.014
2022-05-03 17,.012
2022-05-03 18,.012
2022-05-03 19,.018
2022-05-03 20,.018
2022-05-03 21,.018
2022-05-03 22,.022
2022-05-03 23,.023
2022-05-03 24,.019
2022-05-04 01,.018
2022-05-04 02,.026
2022-05-04 03,.037
2022-05-04 04,.034
2022-05-04 05,.032
2022-05-04 06,.034
2022-05-04 07,.037
2022-05-04 08,.041
2022-05-04 09,.044
2022-05-04 10,.034
2022-05-04 11,.021
2022-05-04 12,.021
2022-05-04 13,.017
2022-05-04 14,.016
2022-05-04 15,.017
2022-05-04 16,.016
2022-05-04 17,.015
2022-05-04 18,.016
2022-05-04 19,.017
2022-05-04 20,.017
2022-05-04 21,.015
2022-05-04 22,.016
2022-05-04 23,.018
2022-05-04 24,.02
2022-05-05 01,.025
2022-05-05 02,.025
2022-05-05 03,.028
2022-05-05 04,.026
2022-05-05 05,.029
2022-05-05 06,.033
2022-05-05 07,.037
2022-05-05 08,.036
2022-05-05 09,.035
2022-05-05 10,.018
2022-05-05 11,.022
2022-05-05 12,.013
2022-05-05 13,.011
2022-05-05 14,.01
2022-05-05 15,.009
2022-05-05 16,.01
2022-05-05 17,.009
2022-05-05 18,.009
2022-05-05 19,.012
2022-05-05 20,.012
2022-05-05 21,.014
2022-05-05 22,.013
2022-05-05 23,.013
2022-05-05 24,.02
2022-05-06 01,.023
2022-05-06 02,.03
2022-05-06 03,.03
2022-05-06 04,.023
2022-05-06 05,.02
2022-05-06 06,.024
2022-05-06 07,.027
2022-05-06 08,.029
2022-05-06 09,.034
2022-05-06 10,.039
2022-05-06 11,.023
2022-05-06 12,.011
2022-05-06 13,.011
2022-05-06 14,.011
2022-05-06 15,.01
2022-05-06 16,.01
2022-05-06 17,.012
2022-05-06 18,.014
2022-05-06 19,.014
2022-05-06 20,.016
2022-05-06 21,.012
2022-05-06 22,.015
2022-05-06 23,.017
2022-05-06 24,.013
2022-05-07 01,.011
2022-05-07 02,.008
2022-05-07 03,.008
2022-05-07 04,.007
2022-05-07 05,.006
2022-05-07 06,.006
2022-05-07 07,.008
2022-05-07 08,.014
2022-05-07 09,.016
2022-05-07 10,.014
2022-05-07 11,.011
2022-05-07 12,.008
2022-05-07 13,.007
2022-05-07 14,.008
2022-05-07 15,.007
2022-05-07 16,.008
2022-05-07 17,.007
2022-05-07 18,.008
2022-05-07 19,.009
2022-05-07 20,.01
2022-05-07 21,.011
2022-05-07 22,.01
2022-05-07 23,.014
2022-05-07 24,.015
2022-05-08 01,.01
2022-05-08 02,.008
2022-05-08 03,.006
2022-05-08 04,.006
2022-05-08 05,.005
2022-05-08 06,.006
2022-05-08 07,.009
2022-05-08 08,.009
2022-05-08 09,.01
2022-05-08 10,.011
2022-05-08 11,.011
2022-05-08 12,.011
2022-05-08 13,.01
2022-05-08 14,.013
2022-05-08 15,.012
2022-05-08 16,.012
2022-05-08 17,.012
2022-05-08 18,.013
2022-05-08 19,.01
2022-05-08 20,.008
2022-05-08 21,.009
2022-05-08 22,.01
2022-05-08 23,.01
2022-05-08 24,.01
2022-05-09 01,.009
2022-05-09 02,.01
2022-05-09 03,.008
2022-05-09 04,.008
2022-05-09 05,.008
2022-05-09 06,.014
2022-05-09 07,.016
2022-05-09 08,.021
2022-05-09 09,.02
2022-05-09 10,.015
2022-05-09 11,.014
2022-05-09 12,.013
2022-05-09 13,.011
2022-05-09 14,.011
2022-05-09 15,.011
2022-05-09 16,.013
2022-05-09 17,.011
2022-05-09 18,.014
2022-05-09 19,.013
2022-05-09 20,.018
2022-05-09 21,.037
2022-05-09 22,.033
2022-05-09 23,.026
2022-05-09 24,.04
2022-05-10 01,.051
2022-05-10 02,.048
2022-05-10 03,.045
2022-05-10 04,.039
2022-05-10 05,.029
2022-05-10 06,.023
2022-05-10 07,.028
2022-05-10 08,.033
2022-05-10 09,.034
2022-05-10 10,.033
2022-05-10 11,.03
2022-05-10 12,.017
2022-05-10 13,.011
2022-05-10 14,.008
2022-05-10 15,.009
2022-05-10 16,.01
2022-05-10 17,.011
2022-05-10 18,.01
2022-05-10 19,.014
2022-05-10 20,.02
2022-05-10 21,.02
2022-05-10 22,.019
2022-05-10 23,.017
2022-05-10 24,.019
2022-05-11 01,.017
2022-05-11 02,.013
2022-05-11 03,.01
2022-05-11 04,.009
2022-05-11 05,.016
2022-05-11 06,.016
2022-05-11 07,.018
2022-05-11 08,.024
2022-05-11 09,.022
2022-05-11 10,.019
2022-05-11 11,.017
2022-05-11 12,.019
2022-05-11 13,.018
2022-05-11 14,.016
2022-05-11 15,.014
2022-05-11 16,.015
2022-05-11 17,.022
2022-05-11 18,.02
2022-05-11 19,.02
2022-05-11 20,.025
2022-05-11 21,.026
2022-05-11 22,.024
2022-05-11 23,.021
2022-05-11 24,.014
2022-05-12 01,.015
2022-05-12 02,.021
2022-05-12 03,.022
2022-05-12 04,.009
2022-05-12 05,.016
2022-05-12 06,.016
2022-05-12 07,.027
2022-05-12 08,.03
2022-05-12 09,.026
2022-05-12 10,.024
2022-05-12 11,.021
2022-05-12 12,.015
2022-05-12 13,.012
2022-05-12 14,.015
2022-05-12 15,.019
2022-05-12 16,.017
2022-05-12 17,.016
2022-05-12 18,.019
2022-05-12 19,.024
2022-05-12 20,.022
2022-05-12 21,.019
2022-05-12 22,.022
2022-05-12 23,.021
2022-05-12 24,.022
2022-05-13 01,.012
2022-05-13 02,.014
2022-05-13 03,.014
2022-05-13 04,.012
2022-05-13 05,.014
2022-05-13 06,.015
2022-05-13 07,.02
2022-05-13 08,.025
2022-05-13 09,.022
2022-05-13 10,.022
2022-05-13 11,.02
2022-05-13 12,.02
2022-05-13 13,.019
2022-05-13 14,
2022-05-13 15,
2022-05-13 16,.017
2022-05-13 17,.017
2022-05-13 18,.016
2022-05-13 19,.012
2022-05-13 20,.01
2022-05-13 21,.011
2022-05-13 22,.011
2022-05-13 23,.016
2022-05-13 24,.016
2022-05-14 01,.01
2022-05-14 02,.011
2022-05-14 03,.011
2022-05-14 04,.012
2022-05-14 05,.013
2022-05-14 06,.014
2022-05-14 07,.018
2022-05-14 08,.019
2022-05-14 09,.015
2022-05-14 10,.012
2022-05-14 11,.011
2022-05-14 12,.011
2022-05-14 13,.01
2022-05-14 14,.01
2022-05-14 15,.011
2022-05-14 16,.01
2022-05-14 17,.012
2022-05-14 18,.012
2022-05-14 19,.012
2022-05-14 20,.01
2022-05-14 21,.01
2022-05-14 22,.012
2022-05-14 23,.009
2022-05-14 24,.008
2022-05-15 01,.007
2022-05-15 02,.007
2022-05-15 03,.007
2022-05-15 04,.009
2022-05-15 05,.01
2022-05-15 06,.011
2022-05-15 07,.013
2022-05-15 08,.017
2022-05-15 09,.018
2022-05-15 10,.013
2022-05-15 11,.008
2022-05-15 12,.006
2022-05-15 13,.006
2022-05-15 14,.006
2022-05-15 15,.007
2022-05-15 16,.006
2022-05-15 17,.007
2022-05-15 18,.008
2022-05-15 19,.011
2022-05-15 20,.011
2022-05-15 21,.014
2022-05-15 22,.017
2022-05-15 23,.016
2022-05-15 24,.016
2022-05-16 01,.012
2022-05-16 02,.011
2022-05-16 03,.009
2022-05-16 04,.011
2022-05-16 05,.013
2022-05-16 06,.014
2022-05-16 07,.018
2022-05-16 08,.026
2022-05-16 09,.022
2022-05-16 10,.021
2022-05-16 11,.021
2022-05-16 12,.021
2022-05-16 13,.015
2022-05-16 14,.013
2022-05-16 15,.015
2022-05-16 16,.016
2022-05-16 17,.014
2022-05-16 18,.014
2022-05-16 19,.015
2022-05-16 20,.013
2022-05-16 21,.013
2022-05-16 22,.012
2022-05-16 23,.013
2022-05-16 24,.012
