날짜,이산화질소
2021-04-01 01,.057
2021-04-01 02,.051
2021-04-01 03,.041
2021-04-01 04,.038
2021-04-01 05,.034
2021-04-01 06,.033
2021-04-01 07,.05
2021-04-01 08,.05
2021-04-01 09,.04
2021-04-01 10,.032
2021-04-01 11,.022
2021-04-01 12,.016
2021-04-01 13,.014
2021-04-01 14,.015
2021-04-01 15,.016
2021-04-01 16,.017
2021-04-01 17,.017
2021-04-01 18,.018
2021-04-01 19,.02
2021-04-01 20,.02
2021-04-01 21,.016
2021-04-01 22,.017
2021-04-01 23,.015
2021-04-01 24,.012
2021-04-02 01,.011
2021-04-02 02,.009
2021-04-02 03,.009
2021-04-02 04,.013
2021-04-02 05,.016
2021-04-02 06,.021
2021-04-02 07,.027
2021-04-02 08,.028
2021-04-02 09,.029
2021-04-02 10,.026
2021-04-02 11,.022
2021-04-02 12,.019
2021-04-02 13,.015
2021-04-02 14,.02
2021-04-02 15,.017
2021-04-02 16,.018
2021-04-02 17,.019
2021-04-02 18,.025
2021-04-02 19,.039
2021-04-02 20,.067
2021-04-02 21,.064
2021-04-02 22,.068
2021-04-02 23,.07
2021-04-02 24,.068
2021-04-03 01,.058
2021-04-03 02,.049
2021-04-03 03,.036
2021-04-03 04,.023
2021-04-03 05,.02
2021-04-03 06,.026
2021-04-03 07,.028
2021-04-03 08,.026
2021-04-03 09,.041
2021-04-03 10,.028
2021-04-03 11,.028
2021-04-03 12,.024
2021-04-03 13,.028
2021-04-03 14,.032
2021-04-03 15,.027
2021-04-03 16,.026
2021-04-03 17,.023
2021-04-03 18,.021
2021-04-03 19,.021
2021-04-03 20,.017
2021-04-03 21,.01
2021-04-03 22,.011
2021-04-03 23,.011
2021-04-03 24,.009
2021-04-04 01,.006
2021-04-04 02,.007
2021-04-04 03,.006
2021-04-04 04,.006
2021-04-04 05,.006
2021-04-04 06,.007
2021-04-04 07,.008
2021-04-04 08,.009
2021-04-04 09,.01
2021-04-04 10,.01
2021-04-04 11,.009
2021-04-04 12,.009
2021-04-04 13,.009
2021-04-04 14,.009
2021-04-04 15,.009
2021-04-04 16,.01
2021-04-04 17,.013
2021-04-04 18,.013
2021-04-04 19,.015
2021-04-04 20,.013
2021-04-04 21,.015
2021-04-04 22,.015
2021-04-04 23,.015
2021-04-04 24,.017
2021-04-05 01,.016
2021-04-05 02,.013
2021-04-05 03,.012
2021-04-05 04,.01
2021-04-05 05,.011
2021-04-05 06,.021
2021-04-05 07,.028
2021-04-05 08,.035
2021-04-05 09,.036
2021-04-05 10,.026
2021-04-05 11,.02
2021-04-05 12,.014
2021-04-05 13,.011
2021-04-05 14,.012
2021-04-05 15,.013
2021-04-05 16,.012
2021-04-05 17,.013
2021-04-05 18,.023
2021-04-05 19,.024
2021-04-05 20,.031
2021-04-05 21,.031
2021-04-05 22,.031
2021-04-05 23,.034
2021-04-05 24,.023
2021-04-06 01,.023
2021-04-06 02,.039
